index	prediction
0	NONSATD
1	IMPLEMENTATION
2	NONSATD
3	DEFECT
4	DESIGN
5	DOCUMENTATION
6	DOCUMENTATION
7	DOCUMENTATION
8	DOCUMENTATION
9	DOCUMENTATION
10	DOCUMENTATION
11	DOCUMENTATION
12	DOCUMENTATION
13	NONSATD
14	NONSATD
15	IMPLEMENTATION
16	NONSATD
17	NONSATD
18	NONSATD
19	NONSATD
20	NONSATD
21	NONSATD
22	NONSATD
23	NONSATD
24	IMPLEMENTATION
25	IMPLEMENTATION
26	NONSATD
27	NONSATD
28	NONSATD
29	NONSATD
30	NONSATD
31	NONSATD
32	NONSATD
33	DESIGN
34	NONSATD
35	NONSATD
36	NONSATD
37	NONSATD
38	NONSATD
39	NONSATD
40	NONSATD
41	IMPLEMENTATION
42	IMPLEMENTATION
43	IMPLEMENTATION
44	IMPLEMENTATION
45	NONSATD
46	NONSATD
47	NONSATD
48	DEFECT
49	NONSATD
50	NONSATD
51	IMPLEMENTATION
52	DOCUMENTATION
53	DOCUMENTATION
54	DESIGN
55	NONSATD
56	NONSATD
57	NONSATD
58	NONSATD
59	NONSATD
60	IMPLEMENTATION
61	NONSATD
62	NONSATD
63	DESIGN
64	DESIGN
65	NONSATD
66	DESIGN
67	DESIGN
68	DESIGN
69	DEFECT
70	NONSATD
71	NONSATD
72	IMPLEMENTATION
73	IMPLEMENTATION
74	IMPLEMENTATION
75	IMPLEMENTATION
76	IMPLEMENTATION
77	IMPLEMENTATION
78	NONSATD
79	NONSATD
80	DESIGN
81	NONSATD
82	NONSATD
83	NONSATD
84	NONSATD
85	NONSATD
86	NONSATD
87	DEFECT
88	DESIGN
89	NONSATD
90	NONSATD
91	NONSATD
92	NONSATD
93	NONSATD
94	NONSATD
95	DESIGN
96	DESIGN
97	TEST
98	DESIGN
99	TEST
100	NONSATD
101	TEST
102	NONSATD
103	DEFECT
104	NONSATD
105	DESIGN
106	DEFECT
107	DESIGN
108	DESIGN
109	NONSATD
110	DESIGN
111	IMPLEMENTATION
112	DESIGN
113	DESIGN
114	IMPLEMENTATION
115	DESIGN
116	DEFECT
117	NONSATD
118	NONSATD
119	NONSATD
120	NONSATD
121	NONSATD
122	NONSATD
123	NONSATD
124	NONSATD
125	NONSATD
126	NONSATD
127	NONSATD
128	NONSATD
129	NONSATD
130	NONSATD
131	NONSATD
132	NONSATD
133	NONSATD
134	IMPLEMENTATION
135	NONSATD
136	NONSATD
137	NONSATD
138	DESIGN
139	NONSATD
140	IMPLEMENTATION
141	IMPLEMENTATION
142	IMPLEMENTATION
143	NONSATD
144	TEST
145	IMPLEMENTATION
146	TEST
147	DESIGN
148	DEFECT
149	TEST
150	TEST
151	TEST
152	TEST
153	TEST
154	TEST
155	TEST
156	TEST
157	TEST
158	TEST
159	TEST
160	TEST
161	TEST
162	TEST
163	IMPLEMENTATION
164	NONSATD
165	DESIGN
166	IMPLEMENTATION
167	IMPLEMENTATION
168	DEFECT
169	NONSATD
170	DEFECT
171	NONSATD
172	NONSATD
173	NONSATD
174	DESIGN
175	NONSATD
176	DEFECT
177	NONSATD
178	NONSATD
179	DEFECT
180	NONSATD
181	NONSATD
182	NONSATD
183	NONSATD
184	NONSATD
185	NONSATD
186	NONSATD
187	NONSATD
188	NONSATD
189	NONSATD
190	NONSATD
191	NONSATD
192	NONSATD
193	NONSATD
194	DESIGN
195	DEFECT
196	DESIGN
197	NONSATD
198	NONSATD
199	NONSATD
200	NONSATD
201	NONSATD
202	NONSATD
203	NONSATD
204	NONSATD
205	NONSATD
206	NONSATD
207	NONSATD
208	NONSATD
209	NONSATD
210	NONSATD
211	NONSATD
212	NONSATD
213	NONSATD
214	NONSATD
215	NONSATD
216	NONSATD
217	NONSATD
218	IMPLEMENTATION
219	NONSATD
220	NONSATD
221	NONSATD
222	NONSATD
223	NONSATD
224	NONSATD
225	NONSATD
226	NONSATD
227	NONSATD
228	NONSATD
229	NONSATD
230	NONSATD
231	NONSATD
232	NONSATD
233	NONSATD
234	NONSATD
235	NONSATD
236	NONSATD
237	NONSATD
238	NONSATD
239	NONSATD
240	NONSATD
241	NONSATD
242	NONSATD
243	NONSATD
244	NONSATD
245	NONSATD
246	NONSATD
247	NONSATD
248	NONSATD
249	NONSATD
250	NONSATD
251	NONSATD
252	NONSATD
253	NONSATD
254	NONSATD
255	NONSATD
256	NONSATD
257	NONSATD
258	DESIGN
259	NONSATD
260	NONSATD
261	DEFECT
262	NONSATD
263	NONSATD
264	NONSATD
265	NONSATD
266	NONSATD
267	NONSATD
268	NONSATD
269	NONSATD
270	DEFECT
271	NONSATD
272	DESIGN
273	NONSATD
274	DESIGN
275	NONSATD
276	DESIGN
277	NONSATD
278	DESIGN
279	DESIGN
280	NONSATD
281	DESIGN
282	IMPLEMENTATION
283	DEFECT
284	NONSATD
285	DEFECT
286	NONSATD
287	DEFECT
288	NONSATD
289	NONSATD
290	NONSATD
291	NONSATD
292	DESIGN
293	NONSATD
294	NONSATD
295	NONSATD
296	IMPLEMENTATION
297	NONSATD
298	DESIGN
299	NONSATD
300	NONSATD
301	NONSATD
302	NONSATD
303	NONSATD
304	DEFECT
305	IMPLEMENTATION
306	NONSATD
307	NONSATD
308	NONSATD
309	NONSATD
310	NONSATD
311	NONSATD
312	TEST
313	NONSATD
314	DEFECT
315	NONSATD
316	NONSATD
317	NONSATD
318	NONSATD
319	DEFECT
320	NONSATD
321	NONSATD
322	IMPLEMENTATION
323	DESIGN
324	DESIGN
325	NONSATD
326	NONSATD
327	IMPLEMENTATION
328	NONSATD
329	IMPLEMENTATION
330	DESIGN
331	DESIGN
332	NONSATD
333	NONSATD
334	NONSATD
335	NONSATD
336	IMPLEMENTATION
337	DEFECT
338	NONSATD
339	DEFECT
340	DEFECT
341	DEFECT
342	NONSATD
343	DEFECT
344	DEFECT
345	NONSATD
346	DEFECT
347	DEFECT
348	DEFECT
349	DEFECT
350	NONSATD
351	IMPLEMENTATION
352	NONSATD
353	NONSATD
354	NONSATD
355	IMPLEMENTATION
356	NONSATD
357	NONSATD
358	NONSATD
359	NONSATD
360	NONSATD
361	DEFECT
362	NONSATD
363	DEFECT
364	NONSATD
365	DEFECT
366	NONSATD
367	DEFECT
368	NONSATD
369	DESIGN
370	NONSATD
371	DESIGN
372	NONSATD
373	DESIGN
374	NONSATD
375	NONSATD
376	NONSATD
377	NONSATD
378	NONSATD
379	IMPLEMENTATION
380	NONSATD
381	NONSATD
382	NONSATD
383	NONSATD
384	DESIGN
385	IMPLEMENTATION
386	NONSATD
387	IMPLEMENTATION
388	NONSATD
389	IMPLEMENTATION
390	NONSATD
391	DESIGN
392	NONSATD
393	DESIGN
394	NONSATD
395	IMPLEMENTATION
396	NONSATD
397	DESIGN
398	NONSATD
399	NONSATD
400	NONSATD
401	DESIGN
402	NONSATD
403	NONSATD
404	NONSATD
405	NONSATD
406	NONSATD
407	NONSATD
408	NONSATD
409	NONSATD
410	NONSATD
411	DESIGN
412	NONSATD
413	IMPLEMENTATION
414	IMPLEMENTATION
415	NONSATD
416	NONSATD
417	NONSATD
418	NONSATD
419	NONSATD
420	NONSATD
421	NONSATD
422	IMPLEMENTATION
423	NONSATD
424	NONSATD
425	NONSATD
426	NONSATD
427	NONSATD
428	NONSATD
429	NONSATD
430	NONSATD
431	NONSATD
432	NONSATD
433	NONSATD
434	NONSATD
435	DESIGN
436	DESIGN
437	NONSATD
438	NONSATD
439	DESIGN
440	DESIGN
441	DESIGN
442	NONSATD
443	NONSATD
444	IMPLEMENTATION
445	NONSATD
446	NONSATD
447	NONSATD
448	NONSATD
449	NONSATD
450	NONSATD
451	NONSATD
452	NONSATD
453	NONSATD
454	NONSATD
455	NONSATD
456	NONSATD
457	NONSATD
458	NONSATD
459	NONSATD
460	DESIGN
461	NONSATD
462	IMPLEMENTATION
463	NONSATD
464	NONSATD
465	IMPLEMENTATION
