index	prediction
0	1 0 0 0
1	0 0 0 0
2	1 0 0 0
3	0 1 0 0
4	1 0 0 0
5	1 0 0 0
6	1 1 0 0
7	0 0 0 0
8	1 0 0 0
9	1 0 0 0
10	0 0 0 0
11	0 0 0 0
12	1 0 0 0
13	0 0 1 0
14	0 0 0 0
15	0 0 1 0
16	1 0 0 0
17	1 0 0 0
18	1 0 0 0
19	1 0 0 0
20	1 0 0 0
21	0 0 0 0
22	1 0 0 0
23	1 0 0 0
24	1 0 0 0
25	1 0 0 0
26	0 1 0 0
27	0 0 0 0
28	0 0 1 0
29	0 0 1 0
30	1 0 0 0
31	1 0 0 0
32	0 1 0 0
33	0 0 1 0
34	1 0 0 0
35	0 0 0 0
36	1 0 0 0
37	1 0 0 0
38	1 0 0 0
39	0 1 0 0
40	1 0 0 0
41	1 0 0 0
42	1 0 0 0
43	0 1 0 0
44	0 0 0 0
45	0 0 0 0
46	0 1 0 0
47	0 1 0 0
48	0 0 0 0
49	0 0 0 0
50	1 0 0 0
51	1 1 0 0
52	1 0 0 0
53	0 1 0 0
54	0 1 0 0
55	0 1 0 0
56	1 0 0 0
57	1 0 0 0
58	0 0 0 0
59	0 1 0 0
60	1 0 0 0
61	1 0 0 0
62	1 0 1 0
63	0 1 0 0
64	0 0 0 0
65	1 0 0 0
66	1 0 0 0
67	1 1 0 0
68	1 0 0 0
69	0 1 0 0
70	1 0 0 0
71	0 0 0 0
72	0 0 0 0
73	1 0 0 0
74	0 1 0 0
75	0 1 0 0
76	0 1 0 0
77	1 0 0 0
78	0 1 0 0
79	1 0 0 0
80	1 0 0 0
81	0 1 0 0
82	0 1 0 0
83	0 1 0 0
84	0 1 0 0
85	0 0 0 0
86	1 0 0 0
87	1 0 0 0
88	0 1 0 0
89	1 0 0 0
90	0 0 0 0
91	1 0 0 0
92	0 1 0 0
