index	prediction
0	DESIGN
1	DEFECT
2	DESIGN
3	IMPLEMENTATION
4	DESIGN
5	DESIGN
6	TEST
7	DESIGN
8	DESIGN
9	DESIGN
10	DEFECT
11	DESIGN
12	IMPLEMENTATION
13	DESIGN
14	DEFECT
15	IMPLEMENTATION
16	IMPLEMENTATION
17	DESIGN
18	DEFECT
19	DESIGN
20	DEFECT
21	IMPLEMENTATION
22	DESIGN
23	DEFECT
24	DESIGN
25	IMPLEMENTATION
26	DEFECT
27	DEFECT
28	DEFECT
29	DESIGN
30	DEFECT
31	DESIGN
32	DEFECT
33	DEFECT
34	DESIGN
35	DEFECT
36	DESIGN
37	DESIGN
38	DEFECT
39	DESIGN
40	DEFECT
41	DESIGN
42	DEFECT
43	DEFECT
44	DEFECT
45	DESIGN
46	DESIGN
47	IMPLEMENTATION
48	DESIGN
49	DEFECT
50	IMPLEMENTATION
51	DEFECT
52	DESIGN
53	DESIGN
54	DEFECT
55	DESIGN
56	DEFECT
57	DEFECT
58	DESIGN
59	DEFECT
60	DESIGN
61	DESIGN
62	DEFECT
63	DEFECT
64	DEFECT
65	DEFECT
66	TEST
67	IMPLEMENTATION
68	DEFECT
69	DEFECT
70	DESIGN
71	DEFECT
72	DEFECT
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	DESIGN
78	DEFECT
79	DESIGN
80	DEFECT
81	DEFECT
82	DEFECT
83	DESIGN
84	DESIGN
85	TEST
86	DESIGN
87	IMPLEMENTATION
88	DESIGN
89	DESIGN
90	DESIGN
91	DEFECT
92	IMPLEMENTATION
93	DESIGN
94	DESIGN
95	DESIGN
96	DEFECT
97	DESIGN
98	DESIGN
99	IMPLEMENTATION
100	DESIGN
101	DESIGN
102	DEFECT
103	DESIGN
104	IMPLEMENTATION
105	DESIGN
106	IMPLEMENTATION
107	DESIGN
108	DESIGN
109	DESIGN
110	IMPLEMENTATION
111	DEFECT
112	DESIGN
113	DESIGN
114	DEFECT
115	DESIGN
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	IMPLEMENTATION
131	DESIGN
132	IMPLEMENTATION
133	IMPLEMENTATION
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DEFECT
140	DESIGN
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	IMPLEMENTATION
146	DESIGN
147	DESIGN
148	DESIGN
149	IMPLEMENTATION
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	IMPLEMENTATION
156	DESIGN
157	IMPLEMENTATION
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	DESIGN
176	DESIGN
177	DESIGN
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DESIGN
186	DESIGN
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	IMPLEMENTATION
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	IMPLEMENTATION
199	DESIGN
200	DESIGN
201	DEFECT
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	DESIGN
211	DESIGN
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DESIGN
238	DESIGN
239	IMPLEMENTATION
240	DESIGN
241	DESIGN
242	DESIGN
243	IMPLEMENTATION
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DESIGN
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	DESIGN
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	DESIGN
263	DESIGN
264	DESIGN
265	DEFECT
266	DESIGN
267	DESIGN
268	IMPLEMENTATION
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DEFECT
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	IMPLEMENTATION
280	DESIGN
281	DESIGN
282	DESIGN
283	DESIGN
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	IMPLEMENTATION
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	DESIGN
301	DESIGN
302	DESIGN
303	DESIGN
304	DESIGN
305	DESIGN
306	DESIGN
307	DESIGN
308	DESIGN
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	DESIGN
317	DESIGN
318	DESIGN
319	DESIGN
320	IMPLEMENTATION
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DESIGN
326	DESIGN
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DESIGN
332	IMPLEMENTATION
333	DESIGN
334	DESIGN
335	DESIGN
336	IMPLEMENTATION
337	IMPLEMENTATION
338	DESIGN
339	IMPLEMENTATION
340	DESIGN
341	DESIGN
342	DESIGN
343	DESIGN
344	DEFECT
345	IMPLEMENTATION
346	DESIGN
347	DESIGN
348	DESIGN
349	DESIGN
350	DESIGN
351	DESIGN
352	DESIGN
353	DESIGN
354	DESIGN
355	DESIGN
356	DESIGN
357	DESIGN
358	DESIGN
359	DESIGN
360	DESIGN
361	DESIGN
362	DESIGN
363	DESIGN
364	DESIGN
365	DESIGN
366	DESIGN
367	DEFECT
368	DESIGN
369	DESIGN
370	DESIGN
371	DESIGN
372	DESIGN
373	DESIGN
374	DESIGN
375	DESIGN
376	DESIGN
377	DESIGN
378	DESIGN
379	DESIGN
380	DESIGN
381	DESIGN
382	DESIGN
383	DESIGN
384	DESIGN
385	DESIGN
386	DESIGN
387	DESIGN
388	DESIGN
389	DESIGN
390	DESIGN
391	DESIGN
392	DESIGN
393	DESIGN
394	DESIGN
395	DESIGN
396	DEFECT
397	DESIGN
398	DESIGN
399	IMPLEMENTATION
400	DESIGN
401	IMPLEMENTATION
402	DESIGN
403	DESIGN
404	DESIGN
405	DESIGN
406	IMPLEMENTATION
407	IMPLEMENTATION
408	DESIGN
409	DESIGN
410	DESIGN
411	DESIGN
412	DESIGN
413	DESIGN
414	DESIGN
415	DESIGN
416	DEFECT
417	DESIGN
418	DESIGN
419	DESIGN
420	DESIGN
421	DESIGN
422	DESIGN
423	DESIGN
424	DESIGN
425	DESIGN
426	DESIGN
427	DESIGN
428	DESIGN
429	DESIGN
430	IMPLEMENTATION
431	DESIGN
432	DESIGN
433	DESIGN
434	DESIGN
435	DESIGN
436	DESIGN
437	DESIGN
438	DESIGN
439	DESIGN
440	DESIGN
441	DESIGN
442	DESIGN
443	DESIGN
444	DESIGN
445	DESIGN
446	DESIGN
447	IMPLEMENTATION
448	DESIGN
449	DEFECT
450	IMPLEMENTATION
451	DESIGN
452	DESIGN
453	DESIGN
454	DESIGN
455	DESIGN
456	DESIGN
457	DESIGN
458	DESIGN
459	DESIGN
460	DESIGN
461	DESIGN
462	DESIGN
463	DESIGN
464	DESIGN
465	DESIGN
