index	prediction
0	SATD
1	NONSATD
2	SATD
3	SATD
4	SATD
5	SATD
6	SATD
7	NONSATD
8	SATD
9	SATD
10	SATD
11	SATD
12	NONSATD
13	NONSATD
14	SATD
15	SATD
16	SATD
17	SATD
18	SATD
19	SATD
20	SATD
21	NONSATD
22	SATD
23	SATD
24	SATD
25	SATD
26	NONSATD
27	SATD
28	SATD
29	SATD
30	NONSATD
31	NONSATD
32	SATD
33	SATD
34	SATD
35	NONSATD
36	SATD
37	SATD
38	SATD
39	SATD
40	SATD
41	SATD
42	NONSATD
43	SATD
44	SATD
45	SATD
46	SATD
47	SATD
48	SATD
49	SATD
50	SATD
51	SATD
52	NONSATD
53	SATD
54	SATD
55	SATD
56	SATD
57	NONSATD
58	SATD
59	SATD
60	NONSATD
61	SATD
62	SATD
63	SATD
64	SATD
65	SATD
66	SATD
67	SATD
68	SATD
69	SATD
70	SATD
71	SATD
72	SATD
73	SATD
74	SATD
75	SATD
76	SATD
77	SATD
78	SATD
79	SATD
80	SATD
81	SATD
82	SATD
83	SATD
84	SATD
85	SATD
86	SATD
87	SATD
88	NONSATD
89	SATD
90	NONSATD
91	SATD
92	SATD
93	SATD
94	SATD
95	SATD
96	SATD
97	SATD
98	SATD
99	SATD
100	SATD
101	SATD
102	SATD
103	SATD
104	SATD
105	SATD
106	SATD
107	NONSATD
108	NONSATD
109	NONSATD
110	NONSATD
111	NONSATD
112	NONSATD
113	NONSATD
114	NONSATD
115	NONSATD
116	NONSATD
117	NONSATD
118	NONSATD
119	NONSATD
120	NONSATD
121	NONSATD
122	NONSATD
123	NONSATD
124	NONSATD
125	NONSATD
126	NONSATD
127	NONSATD
128	NONSATD
129	NONSATD
130	NONSATD
131	NONSATD
132	NONSATD
133	NONSATD
134	NONSATD
135	NONSATD
136	NONSATD
137	NONSATD
138	NONSATD
139	NONSATD
140	NONSATD
141	NONSATD
142	NONSATD
143	NONSATD
144	NONSATD
145	NONSATD
146	NONSATD
147	NONSATD
148	NONSATD
149	NONSATD
150	NONSATD
151	NONSATD
152	NONSATD
153	NONSATD
154	NONSATD
155	NONSATD
156	NONSATD
157	NONSATD
158	NONSATD
159	NONSATD
160	NONSATD
161	NONSATD
162	NONSATD
163	NONSATD
164	NONSATD
165	NONSATD
166	NONSATD
167	NONSATD
168	NONSATD
169	NONSATD
170	NONSATD
171	NONSATD
172	NONSATD
173	NONSATD
174	NONSATD
175	NONSATD
176	NONSATD
177	NONSATD
178	NONSATD
179	NONSATD
180	NONSATD
181	NONSATD
182	NONSATD
183	NONSATD
184	NONSATD
185	NONSATD
186	NONSATD
187	NONSATD
188	NONSATD
189	NONSATD
190	NONSATD
191	NONSATD
192	NONSATD
193	NONSATD
194	NONSATD
195	NONSATD
196	NONSATD
197	NONSATD
198	NONSATD
199	NONSATD
200	NONSATD
201	NONSATD
202	NONSATD
203	NONSATD
204	NONSATD
205	NONSATD
206	NONSATD
207	NONSATD
208	NONSATD
209	NONSATD
