index	prediction
0	DESIGN
1	DEFECT
2	DESIGN
3	DESIGN
4	DESIGN
5	DEFECT
6	TEST
7	DESIGN
8	DESIGN
9	DEFECT
10	DESIGN
11	DESIGN
12	IMPLEMENTATION
13	DESIGN
14	DEFECT
15	IMPLEMENTATION
16	DESIGN
17	DESIGN
18	DEFECT
19	DESIGN
20	DEFECT
21	DESIGN
22	DESIGN
23	DEFECT
24	DEFECT
25	WITHOUT_CLASSIFICATION
26	DEFECT
27	DEFECT
28	DEFECT
29	DESIGN
30	DEFECT
31	DEFECT
32	DESIGN
33	DEFECT
34	DESIGN
35	WITHOUT_CLASSIFICATION
36	DESIGN
37	WITHOUT_CLASSIFICATION
38	DEFECT
39	IMPLEMENTATION
40	DEFECT
41	DESIGN
42	IMPLEMENTATION
43	DESIGN
44	DEFECT
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	DEFECT
50	DESIGN
51	DEFECT
52	DESIGN
53	DESIGN
54	DEFECT
55	DESIGN
56	DEFECT
57	DEFECT
58	DESIGN
59	DEFECT
60	DESIGN
61	DESIGN
62	DEFECT
63	DEFECT
64	DEFECT
65	DEFECT
66	TEST
67	IMPLEMENTATION
68	DEFECT
69	DEFECT
70	DESIGN
71	DEFECT
72	WITHOUT_CLASSIFICATION
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	WITHOUT_CLASSIFICATION
78	DEFECT
79	DESIGN
80	IMPLEMENTATION
81	DEFECT
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	WITHOUT_CLASSIFICATION
87	DESIGN
88	IMPLEMENTATION
89	WITHOUT_CLASSIFICATION
90	DESIGN
91	DEFECT
92	DESIGN
93	DEFECT
94	DEFECT
95	DESIGN
96	DEFECT
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	IMPLEMENTATION
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DEFECT
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	IMPLEMENTATION
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	WITHOUT_CLASSIFICATION
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DEFECT
129	DESIGN
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DEFECT
140	DESIGN
141	DESIGN
142	IMPLEMENTATION
143	DESIGN
144	DESIGN
145	IMPLEMENTATION
146	DESIGN
147	DESIGN
148	DESIGN
149	IMPLEMENTATION
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	IMPLEMENTATION
156	DESIGN
157	DESIGN
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	WITHOUT_CLASSIFICATION
169	DESIGN
170	IMPLEMENTATION
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	DEFECT
176	DESIGN
177	DESIGN
178	DESIGN
179	WITHOUT_CLASSIFICATION
180	DESIGN
181	DEFECT
182	DESIGN
183	DESIGN
184	DESIGN
185	IMPLEMENTATION
186	DESIGN
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	IMPLEMENTATION
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	IMPLEMENTATION
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	WITHOUT_CLASSIFICATION
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	DESIGN
211	DESIGN
212	DESIGN
213	DESIGN
214	DEFECT
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	WITHOUT_CLASSIFICATION
228	DESIGN
229	DESIGN
230	WITHOUT_CLASSIFICATION
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	WITHOUT_CLASSIFICATION
236	DESIGN
237	DESIGN
238	DESIGN
239	DESIGN
240	DESIGN
241	DESIGN
242	DESIGN
243	DESIGN
244	DESIGN
245	IMPLEMENTATION
246	DESIGN
247	DESIGN
248	DESIGN
249	IMPLEMENTATION
250	DESIGN
251	DESIGN
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	DESIGN
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	DESIGN
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	IMPLEMENTATION
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DESIGN
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	IMPLEMENTATION
280	DESIGN
281	DESIGN
282	DESIGN
283	IMPLEMENTATION
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	DESIGN
293	DESIGN
294	DESIGN
295	WITHOUT_CLASSIFICATION
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	DESIGN
301	DESIGN
302	DESIGN
303	DESIGN
304	DESIGN
305	DESIGN
306	DESIGN
307	DESIGN
308	DESIGN
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	DESIGN
317	DESIGN
318	DESIGN
319	DESIGN
320	DESIGN
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DESIGN
326	DESIGN
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DESIGN
332	DESIGN
333	DESIGN
334	DESIGN
335	DESIGN
336	DESIGN
337	DESIGN
338	DESIGN
339	DEFECT
340	DESIGN
341	DESIGN
342	DESIGN
343	DESIGN
344	DESIGN
345	DESIGN
346	DESIGN
347	DESIGN
348	DESIGN
349	DESIGN
350	DESIGN
351	IMPLEMENTATION
352	DESIGN
353	DESIGN
354	IMPLEMENTATION
355	DESIGN
356	DESIGN
357	DESIGN
358	DESIGN
359	DESIGN
360	DESIGN
361	DESIGN
362	DESIGN
363	IMPLEMENTATION
364	DESIGN
365	DESIGN
366	DESIGN
367	DESIGN
368	DESIGN
369	DESIGN
370	DESIGN
371	DESIGN
372	DESIGN
373	DESIGN
374	DESIGN
375	DESIGN
376	DESIGN
377	DESIGN
378	DESIGN
379	DESIGN
380	DESIGN
381	DESIGN
382	DESIGN
383	WITHOUT_CLASSIFICATION
384	DESIGN
385	DESIGN
386	DESIGN
387	DESIGN
388	DESIGN
389	DESIGN
390	DESIGN
391	DESIGN
392	DESIGN
393	DESIGN
394	DESIGN
395	DESIGN
396	DEFECT
397	DESIGN
398	DESIGN
399	DESIGN
400	DESIGN
401	DESIGN
402	DESIGN
403	DESIGN
404	IMPLEMENTATION
405	DESIGN
406	IMPLEMENTATION
407	DESIGN
408	DESIGN
409	DESIGN
410	DESIGN
411	DESIGN
412	IMPLEMENTATION
413	DEFECT
414	DESIGN
415	DESIGN
416	IMPLEMENTATION
417	DESIGN
418	DESIGN
419	DESIGN
420	DESIGN
421	DESIGN
422	DESIGN
423	DESIGN
424	DESIGN
425	DESIGN
426	DESIGN
427	DESIGN
428	DESIGN
429	DESIGN
430	IMPLEMENTATION
431	DESIGN
432	DESIGN
433	DESIGN
434	DESIGN
435	DESIGN
436	DESIGN
437	DESIGN
438	DESIGN
439	DESIGN
440	DESIGN
441	DESIGN
442	DESIGN
443	DESIGN
444	DESIGN
445	DESIGN
446	DESIGN
447	DESIGN
448	DESIGN
449	DEFECT
450	IMPLEMENTATION
