index	prediction
0	DESIGN
1	DESIGN
2	IMPLEMENTATION
3	NONSATD
4	DOCUMENTATION
5	NONSATD
6	NONSATD
7	NONSATD
8	NONSATD
9	NONSATD
10	NONSATD
11	NONSATD
12	DESIGN
13	NONSATD
14	NONSATD
15	NONSATD
16	NONSATD
17	NONSATD
18	NONSATD
19	DESIGN
20	NONSATD
21	NONSATD
22	DESIGN
23	NONSATD
24	NONSATD
25	NONSATD
26	DEFECT
27	DESIGN
28	DESIGN
29	NONSATD
30	DESIGN
31	DEFECT
32	NONSATD
33	NONSATD
34	DEFECT
35	DESIGN
36	NONSATD
37	NONSATD
38	DESIGN
39	NONSATD
40	NONSATD
41	NONSATD
42	NONSATD
43	DESIGN
44	NONSATD
45	NONSATD
46	DESIGN
47	NONSATD
48	NONSATD
49	DEFECT
50	NONSATD
51	DESIGN
52	NONSATD
53	NONSATD
54	NONSATD
55	NONSATD
56	NONSATD
57	DEFECT
58	NONSATD
59	NONSATD
60	DESIGN
61	DESIGN
62	NONSATD
63	DESIGN
64	DEFECT
65	DESIGN
66	NONSATD
67	IMPLEMENTATION
68	DESIGN
69	NONSATD
70	DESIGN
71	IMPLEMENTATION
72	NONSATD
73	NONSATD
74	IMPLEMENTATION
75	DESIGN
76	DESIGN
77	NONSATD
78	NONSATD
79	DESIGN
80	NONSATD
81	NONSATD
82	NONSATD
83	NONSATD
84	NONSATD
85	NONSATD
86	NONSATD
87	NONSATD
88	NONSATD
89	NONSATD
90	NONSATD
91	NONSATD
92	DESIGN
93	NONSATD
94	NONSATD
95	NONSATD
96	IMPLEMENTATION
97	DESIGN
98	NONSATD
99	NONSATD
100	NONSATD
101	NONSATD
102	NONSATD
103	DESIGN
104	DESIGN
105	DESIGN
106	DESIGN
107	NONSATD
108	DESIGN
109	DESIGN
110	NONSATD
111	NONSATD
112	NONSATD
113	IMPLEMENTATION
114	NONSATD
115	DEFECT
116	NONSATD
117	DESIGN
118	NONSATD
119	NONSATD
120	DESIGN
121	NONSATD
122	NONSATD
123	DEFECT
124	NONSATD
125	IMPLEMENTATION
126	DESIGN
127	NONSATD
128	NONSATD
129	NONSATD
130	NONSATD
131	NONSATD
132	NONSATD
133	IMPLEMENTATION
134	NONSATD
135	NONSATD
136	IMPLEMENTATION
137	IMPLEMENTATION
138	DESIGN
139	NONSATD
140	NONSATD
141	NONSATD
142	DESIGN
143	NONSATD
144	NONSATD
145	NONSATD
146	NONSATD
147	DEFECT
148	DEFECT
149	DESIGN
150	NONSATD
151	NONSATD
152	NONSATD
153	DESIGN
154	NONSATD
155	NONSATD
156	NONSATD
157	DEFECT
158	NONSATD
159	NONSATD
160	IMPLEMENTATION
161	NONSATD
162	NONSATD
163	NONSATD
164	NONSATD
165	NONSATD
166	NONSATD
167	DEFECT
168	DESIGN
169	NONSATD
170	IMPLEMENTATION
171	NONSATD
172	NONSATD
173	DEFECT
174	NONSATD
175	DESIGN
176	NONSATD
177	IMPLEMENTATION
178	NONSATD
179	NONSATD
180	DESIGN
181	NONSATD
182	NONSATD
183	NONSATD
184	NONSATD
185	NONSATD
186	DESIGN
187	IMPLEMENTATION
188	NONSATD
189	NONSATD
190	IMPLEMENTATION
191	NONSATD
192	NONSATD
193	IMPLEMENTATION
194	NONSATD
195	NONSATD
196	IMPLEMENTATION
197	NONSATD
198	IMPLEMENTATION
199	IMPLEMENTATION
200	DESIGN
201	DESIGN
202	NONSATD
203	IMPLEMENTATION
204	IMPLEMENTATION
205	IMPLEMENTATION
206	DEFECT
207	NONSATD
208	IMPLEMENTATION
209	IMPLEMENTATION
210	IMPLEMENTATION
211	DEFECT
212	DEFECT
213	NONSATD
214	NONSATD
215	NONSATD
216	DESIGN
217	DESIGN
218	IMPLEMENTATION
219	NONSATD
220	DESIGN
221	NONSATD
222	NONSATD
223	NONSATD
224	DESIGN
225	DESIGN
226	IMPLEMENTATION
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	NONSATD
232	NONSATD
233	NONSATD
234	NONSATD
235	DESIGN
236	NONSATD
237	NONSATD
238	DESIGN
239	IMPLEMENTATION
240	NONSATD
241	NONSATD
242	DESIGN
243	DESIGN
244	NONSATD
245	DESIGN
246	NONSATD
247	DESIGN
248	NONSATD
249	IMPLEMENTATION
250	DESIGN
251	NONSATD
252	NONSATD
253	NONSATD
254	DESIGN
255	NONSATD
256	NONSATD
257	DESIGN
258	NONSATD
259	NONSATD
260	NONSATD
261	NONSATD
262	NONSATD
263	NONSATD
264	NONSATD
265	TEST
266	DESIGN
267	NONSATD
268	DESIGN
269	DESIGN
270	NONSATD
271	NONSATD
272	NONSATD
273	NONSATD
274	NONSATD
275	NONSATD
276	NONSATD
277	NONSATD
278	NONSATD
279	NONSATD
280	NONSATD
281	NONSATD
282	NONSATD
283	NONSATD
284	NONSATD
285	NONSATD
286	NONSATD
287	NONSATD
288	NONSATD
289	NONSATD
290	NONSATD
291	NONSATD
292	NONSATD
293	NONSATD
294	NONSATD
295	NONSATD
296	NONSATD
297	NONSATD
298	DEFECT
299	NONSATD
300	NONSATD
301	NONSATD
302	NONSATD
303	NONSATD
304	NONSATD
305	NONSATD
306	NONSATD
307	DEFECT
308	NONSATD
309	TEST
310	IMPLEMENTATION
311	DESIGN
312	NONSATD
313	NONSATD
314	NONSATD
315	NONSATD
316	NONSATD
317	NONSATD
318	NONSATD
319	NONSATD
320	NONSATD
321	NONSATD
322	DEFECT
323	NONSATD
324	IMPLEMENTATION
325	NONSATD
326	NONSATD
327	NONSATD
328	DESIGN
329	NONSATD
330	NONSATD
331	IMPLEMENTATION
332	DESIGN
333	NONSATD
334	DESIGN
335	NONSATD
336	NONSATD
337	NONSATD
338	NONSATD
339	NONSATD
340	DESIGN
341	DESIGN
342	NONSATD
343	DESIGN
344	NONSATD
345	IMPLEMENTATION
346	NONSATD
