index	prediction
0	DESIGN
1	DESIGN
2	DESIGN
3	DESIGN
4	DESIGN
5	DESIGN
6	DEFECT
7	DESIGN
8	DESIGN
9	DESIGN
10	IMPLEMENTATION
11	DESIGN
12	DESIGN
13	DEFECT
14	DEFECT
15	DEFECT
16	DESIGN
17	DEFECT
18	DEFECT
19	DESIGN
20	DESIGN
21	DESIGN
22	DESIGN
23	TEST
24	DEFECT
25	DEFECT
26	DEFECT
27	DESIGN
28	DESIGN
29	DESIGN
30	DEFECT
31	DEFECT
32	DESIGN
33	DEFECT
34	IMPLEMENTATION
35	DESIGN
36	DESIGN
37	IMPLEMENTATION
38	DESIGN
39	DESIGN
40	DESIGN
41	DESIGN
42	DESIGN
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	DESIGN
50	DESIGN
51	DESIGN
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DEFECT
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	IMPLEMENTATION
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DEFECT
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DESIGN
140	DEFECT
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	DESIGN
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DEFECT
157	DESIGN
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	IMPLEMENTATION
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	IMPLEMENTATION
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	DESIGN
176	DESIGN
177	DESIGN
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DESIGN
186	DESIGN
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	DESIGN
211	DESIGN
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	IMPLEMENTATION
220	IMPLEMENTATION
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	IMPLEMENTATION
226	DESIGN
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	TEST
232	TEST
233	TEST
