index	prediction
0	DEFECT
1	DESIGN
2	DEFECT
3	DEFECT
4	IMPLEMENTATION
5	DEFECT
6	DEFECT
7	DESIGN
8	IMPLEMENTATION
9	IMPLEMENTATION
10	DESIGN
11	DEFECT
12	DEFECT
13	DEFECT
14	DESIGN
15	WITHOUT_CLASSIFICATION
16	WITHOUT_CLASSIFICATION
17	DEFECT
18	DESIGN
19	WITHOUT_CLASSIFICATION
20	DEFECT
21	IMPLEMENTATION
22	DEFECT
23	DESIGN
24	DEFECT
25	DESIGN
26	DESIGN
27	DESIGN
28	DESIGN
29	DEFECT
30	DEFECT
31	DEFECT
32	DEFECT
33	WITHOUT_CLASSIFICATION
34	DESIGN
35	DEFECT
36	DEFECT
37	DEFECT
38	DESIGN
39	DEFECT
40	IMPLEMENTATION
41	DESIGN
42	DEFECT
43	DEFECT
44	DESIGN
45	DESIGN
46	DESIGN
47	DEFECT
48	DEFECT
49	IMPLEMENTATION
50	DEFECT
51	DESIGN
52	DEFECT
53	DESIGN
54	DEFECT
55	DESIGN
56	DESIGN
57	DEFECT
58	DEFECT
59	DESIGN
60	DEFECT
61	DESIGN
62	DESIGN
63	DESIGN
64	DEFECT
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	WITHOUT_CLASSIFICATION
70	DESIGN
71	WITHOUT_CLASSIFICATION
72	DESIGN
73	DESIGN
74	DESIGN
75	DESIGN
76	DESIGN
77	DEFECT
78	DESIGN
79	DESIGN
80	DESIGN
81	WITHOUT_CLASSIFICATION
82	DESIGN
83	DEFECT
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	WITHOUT_CLASSIFICATION
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	WITHOUT_CLASSIFICATION
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	IMPLEMENTATION
103	DESIGN
104	DEFECT
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	WITHOUT_CLASSIFICATION
110	DESIGN
111	DEFECT
112	DESIGN
113	DESIGN
114	IMPLEMENTATION
