index	prediction
0	DEFECT
1	DESIGN
2	DESIGN
3	DEFECT
4	DESIGN
5	DEFECT
6	DEFECT
7	DESIGN
8	DESIGN
9	IMPLEMENTATION
10	DESIGN
11	IMPLEMENTATION
12	DEFECT
13	DEFECT
14	DEFECT
15	DESIGN
16	DEFECT
17	DESIGN
18	DEFECT
19	DESIGN
20	DEFECT
21	DESIGN
22	DESIGN
23	DESIGN
24	DEFECT
25	DEFECT
26	DESIGN
27	DESIGN
28	DEFECT
29	IMPLEMENTATION
30	DEFECT
31	DESIGN
32	DEFECT
33	DESIGN
34	DESIGN
35	DEFECT
36	DEFECT
37	DEFECT
38	DEFECT
39	DEFECT
40	DESIGN
41	DEFECT
42	DEFECT
43	DEFECT
44	DESIGN
45	DESIGN
46	DEFECT
47	DESIGN
48	DEFECT
49	IMPLEMENTATION
50	DESIGN
51	DEFECT
52	DEFECT
53	DESIGN
54	DESIGN
55	DESIGN
56	DEFECT
57	DEFECT
58	DEFECT
59	DESIGN
60	DEFECT
61	DEFECT
62	DESIGN
63	DESIGN
64	DEFECT
65	DESIGN
66	DESIGN
67	DEFECT
68	DEFECT
69	DEFECT
70	IMPLEMENTATION
71	DESIGN
72	DEFECT
73	DESIGN
74	DESIGN
75	DESIGN
76	DESIGN
77	DESIGN
78	DEFECT
79	DESIGN
80	DEFECT
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DEFECT
103	DESIGN
104	DEFECT
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	IMPLEMENTATION
115	DESIGN
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DEFECT
128	DESIGN
129	DESIGN
