index	prediction
0	DESIGN
1	DESIGN
2	DESIGN
3	DESIGN
4	DESIGN
5	IMPLEMENTATION
6	DESIGN
7	DESIGN
8	DESIGN
9	DESIGN
10	IMPLEMENTATION
11	IMPLEMENTATION
12	IMPLEMENTATION
13	IMPLEMENTATION
14	IMPLEMENTATION
15	IMPLEMENTATION
16	DESIGN
17	DESIGN
18	DESIGN
19	IMPLEMENTATION
20	TEST
21	IMPLEMENTATION
22	DESIGN
23	DOCUMENTATION
24	DEFECT
25	DESIGN
26	DESIGN
27	DESIGN
28	DESIGN
29	IMPLEMENTATION
30	DESIGN
31	IMPLEMENTATION
32	DEFECT
33	DEFECT
34	DEFECT
35	DEFECT
36	DEFECT
37	IMPLEMENTATION
38	IMPLEMENTATION
39	IMPLEMENTATION
40	TEST
41	DESIGN
42	DESIGN
43	DESIGN
44	IMPLEMENTATION
45	IMPLEMENTATION
46	IMPLEMENTATION
47	DESIGN
48	DEFECT
49	DEFECT
50	DESIGN
51	DESIGN
52	IMPLEMENTATION
53	DESIGN
54	DEFECT
55	DESIGN
56	IMPLEMENTATION
57	DEFECT
58	IMPLEMENTATION
59	IMPLEMENTATION
60	IMPLEMENTATION
61	IMPLEMENTATION
62	IMPLEMENTATION
63	DESIGN
64	DESIGN
65	DEFECT
66	IMPLEMENTATION
67	IMPLEMENTATION
68	DEFECT
69	IMPLEMENTATION
70	DESIGN
71	DEFECT
72	DESIGN
73	DESIGN
74	DESIGN
75	TEST
76	DESIGN
77	IMPLEMENTATION
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	IMPLEMENTATION
84	IMPLEMENTATION
85	DESIGN
86	DESIGN
87	DESIGN
88	IMPLEMENTATION
89	IMPLEMENTATION
90	DESIGN
91	DESIGN
92	IMPLEMENTATION
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	IMPLEMENTATION
98	IMPLEMENTATION
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	IMPLEMENTATION
104	DESIGN
105	DEFECT
106	DEFECT
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	IMPLEMENTATION
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	IMPLEMENTATION
119	DEFECT
120	DEFECT
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	IMPLEMENTATION
127	DESIGN
128	IMPLEMENTATION
129	DESIGN
130	DESIGN
131	DEFECT
132	DESIGN
133	DEFECT
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	IMPLEMENTATION
139	DESIGN
140	DEFECT
141	IMPLEMENTATION
142	IMPLEMENTATION
143	DESIGN
144	IMPLEMENTATION
145	DESIGN
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DEFECT
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DESIGN
157	DESIGN
158	DESIGN
159	DESIGN
160	IMPLEMENTATION
161	DESIGN
162	DESIGN
163	DESIGN
164	IMPLEMENTATION
165	DESIGN
166	DESIGN
167	IMPLEMENTATION
168	DESIGN
169	IMPLEMENTATION
170	DESIGN
171	IMPLEMENTATION
172	DESIGN
173	DESIGN
174	DESIGN
175	DESIGN
176	IMPLEMENTATION
177	DEFECT
178	DESIGN
179	DESIGN
180	IMPLEMENTATION
181	DESIGN
182	DESIGN
183	DEFECT
184	IMPLEMENTATION
185	DESIGN
186	DESIGN
187	IMPLEMENTATION
188	IMPLEMENTATION
189	DESIGN
190	DESIGN
191	DESIGN
192	IMPLEMENTATION
193	DESIGN
194	DESIGN
195	DESIGN
196	IMPLEMENTATION
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	IMPLEMENTATION
203	IMPLEMENTATION
204	DEFECT
205	DESIGN
206	DESIGN
207	DEFECT
208	DEFECT
209	DESIGN
210	DESIGN
211	DESIGN
212	DESIGN
213	DEFECT
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	IMPLEMENTATION
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	IMPLEMENTATION
227	IMPLEMENTATION
228	DESIGN
229	IMPLEMENTATION
230	IMPLEMENTATION
231	DESIGN
232	TEST
233	DESIGN
234	DEFECT
235	DESIGN
236	DEFECT
237	DESIGN
238	IMPLEMENTATION
239	IMPLEMENTATION
240	IMPLEMENTATION
241	IMPLEMENTATION
242	DESIGN
243	DESIGN
244	DESIGN
245	DEFECT
246	DOCUMENTATION
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DEFECT
252	DESIGN
253	DESIGN
254	IMPLEMENTATION
255	DESIGN
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	IMPLEMENTATION
260	DESIGN
261	DESIGN
262	DESIGN
263	DEFECT
264	DEFECT
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	IMPLEMENTATION
270	DESIGN
271	IMPLEMENTATION
272	IMPLEMENTATION
273	IMPLEMENTATION
274	DESIGN
275	DESIGN
276	IMPLEMENTATION
277	DESIGN
278	DESIGN
279	DESIGN
280	DESIGN
281	IMPLEMENTATION
282	DESIGN
283	DESIGN
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	IMPLEMENTATION
289	DESIGN
290	DESIGN
291	DESIGN
292	IMPLEMENTATION
293	DESIGN
294	DESIGN
295	IMPLEMENTATION
296	IMPLEMENTATION
297	DESIGN
298	IMPLEMENTATION
299	IMPLEMENTATION
300	IMPLEMENTATION
301	DESIGN
302	DESIGN
303	DESIGN
304	DESIGN
305	IMPLEMENTATION
306	DEFECT
307	DESIGN
308	DESIGN
309	DESIGN
310	TEST
311	DESIGN
312	DESIGN
313	IMPLEMENTATION
