index	prediction
0	DEFECT
1	DEFECT
2	DEFECT
3	DESIGN
4	DEFECT
5	DEFECT
6	DESIGN
7	IMPLEMENTATION
8	IMPLEMENTATION
9	DESIGN
10	DESIGN
11	IMPLEMENTATION
12	DESIGN
13	DESIGN
14	DESIGN
15	IMPLEMENTATION
16	IMPLEMENTATION
17	IMPLEMENTATION
18	DESIGN
19	DESIGN
20	DESIGN
21	DESIGN
22	IMPLEMENTATION
23	IMPLEMENTATION
24	DESIGN
25	DESIGN
26	DEFECT
27	IMPLEMENTATION
28	DESIGN
29	DESIGN
30	DESIGN
31	DESIGN
32	DESIGN
33	IMPLEMENTATION
34	IMPLEMENTATION
35	IMPLEMENTATION
36	DESIGN
37	DESIGN
38	DESIGN
39	IMPLEMENTATION
40	DEFECT
41	IMPLEMENTATION
42	DEFECT
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	IMPLEMENTATION
50	IMPLEMENTATION
51	DEFECT
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DEFECT
59	DESIGN
60	DESIGN
61	IMPLEMENTATION
62	IMPLEMENTATION
63	IMPLEMENTATION
64	IMPLEMENTATION
65	DESIGN
66	DESIGN
67	IMPLEMENTATION
68	DEFECT
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	DEFECT
74	DESIGN
75	DESIGN
76	IMPLEMENTATION
77	DESIGN
78	IMPLEMENTATION
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DEFECT
84	DEFECT
85	DESIGN
86	DESIGN
87	IMPLEMENTATION
88	DESIGN
89	DESIGN
90	DESIGN
91	IMPLEMENTATION
92	IMPLEMENTATION
93	DESIGN
94	DESIGN
95	DESIGN
96	IMPLEMENTATION
97	DESIGN
98	DESIGN
99	DEFECT
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	IMPLEMENTATION
111	DESIGN
112	IMPLEMENTATION
113	DESIGN
114	DESIGN
115	IMPLEMENTATION
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DEFECT
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	IMPLEMENTATION
127	DESIGN
128	IMPLEMENTATION
129	IMPLEMENTATION
130	IMPLEMENTATION
131	DESIGN
132	DESIGN
133	IMPLEMENTATION
134	IMPLEMENTATION
135	IMPLEMENTATION
136	IMPLEMENTATION
137	DESIGN
138	IMPLEMENTATION
139	IMPLEMENTATION
140	IMPLEMENTATION
141	IMPLEMENTATION
142	IMPLEMENTATION
143	IMPLEMENTATION
144	DESIGN
145	IMPLEMENTATION
146	DESIGN
147	IMPLEMENTATION
148	IMPLEMENTATION
149	IMPLEMENTATION
150	IMPLEMENTATION
151	IMPLEMENTATION
152	IMPLEMENTATION
153	DEFECT
154	TEST
155	TEST
156	TEST
157	TEST
158	TEST
159	TEST
