index	prediction
0	DEFECT
1	IMPLEMENTATION
2	DEFECT
3	IMPLEMENTATION
4	DEFECT
5	DESIGN
6	DESIGN
7	IMPLEMENTATION
8	IMPLEMENTATION
9	IMPLEMENTATION
10	IMPLEMENTATION
11	DEFECT
12	DESIGN
13	DESIGN
14	DESIGN
15	IMPLEMENTATION
16	IMPLEMENTATION
17	IMPLEMENTATION
18	DESIGN
19	DESIGN
20	DESIGN
21	DESIGN
22	IMPLEMENTATION
23	IMPLEMENTATION
24	DESIGN
25	DESIGN
26	DEFECT
27	DESIGN
28	DESIGN
29	DESIGN
30	DEFECT
31	DESIGN
32	DESIGN
33	IMPLEMENTATION
34	IMPLEMENTATION
35	IMPLEMENTATION
36	DESIGN
37	DESIGN
38	DESIGN
39	IMPLEMENTATION
40	DESIGN
41	IMPLEMENTATION
42	DESIGN
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	IMPLEMENTATION
50	IMPLEMENTATION
51	DEFECT
52	DESIGN
53	DESIGN
54	DEFECT
55	DESIGN
56	DESIGN
57	DESIGN
58	IMPLEMENTATION
59	DESIGN
60	DESIGN
61	IMPLEMENTATION
62	IMPLEMENTATION
63	DESIGN
64	IMPLEMENTATION
65	DESIGN
66	DESIGN
67	DESIGN
68	DEFECT
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	IMPLEMENTATION
74	IMPLEMENTATION
75	DESIGN
76	DESIGN
77	IMPLEMENTATION
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	IMPLEMENTATION
88	DESIGN
89	DESIGN
90	DESIGN
91	IMPLEMENTATION
92	IMPLEMENTATION
93	DESIGN
94	DESIGN
95	DESIGN
96	IMPLEMENTATION
97	DESIGN
98	DESIGN
99	DEFECT
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DEFECT
105	DESIGN
106	DESIGN
107	IMPLEMENTATION
108	DESIGN
109	DESIGN
110	IMPLEMENTATION
111	DESIGN
112	IMPLEMENTATION
113	DESIGN
114	DESIGN
115	IMPLEMENTATION
116	DESIGN
117	IMPLEMENTATION
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	IMPLEMENTATION
127	DESIGN
128	IMPLEMENTATION
129	IMPLEMENTATION
130	DESIGN
131	IMPLEMENTATION
132	IMPLEMENTATION
133	DESIGN
134	IMPLEMENTATION
135	IMPLEMENTATION
136	IMPLEMENTATION
137	IMPLEMENTATION
138	IMPLEMENTATION
139	IMPLEMENTATION
140	IMPLEMENTATION
141	IMPLEMENTATION
142	IMPLEMENTATION
143	IMPLEMENTATION
144	IMPLEMENTATION
145	IMPLEMENTATION
146	IMPLEMENTATION
147	IMPLEMENTATION
148	IMPLEMENTATION
149	IMPLEMENTATION
150	IMPLEMENTATION
151	IMPLEMENTATION
152	DESIGN
153	DESIGN
154	TEST
155	TEST
156	TEST
157	TEST
158	TEST
159	TEST
