index	prediction
0	DEFECT
1	DESIGN
2	DEFECT
3	DESIGN
4	DESIGN
5	DESIGN
6	DEFECT
7	DEFECT
8	DESIGN
9	DEFECT
10	DESIGN
11	DESIGN
12	DESIGN
13	DESIGN
14	DEFECT
15	DESIGN
16	DEFECT
17	DESIGN
18	IMPLEMENTATION
19	DEFECT
20	DESIGN
21	DESIGN
22	DESIGN
23	DESIGN
24	DEFECT
25	IMPLEMENTATION
26	DEFECT
27	DESIGN
28	DESIGN
29	DESIGN
30	DEFECT
31	DEFECT
32	DESIGN
33	DEFECT
34	DEFECT
35	DESIGN
36	DESIGN
37	DESIGN
38	DEFECT
39	DESIGN
40	DESIGN
41	DESIGN
42	DESIGN
43	DESIGN
44	DEFECT
45	DESIGN
46	DEFECT
47	DESIGN
48	DEFECT
49	DEFECT
50	DESIGN
51	DESIGN
52	IMPLEMENTATION
53	IMPLEMENTATION
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DEFECT
68	DESIGN
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	IMPLEMENTATION
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	IMPLEMENTATION
87	DESIGN
88	DESIGN
89	IMPLEMENTATION
90	DESIGN
91	DESIGN
92	DESIGN
93	DEFECT
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	DESIGN
107	IMPLEMENTATION
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
