index	prediction
0	SATD
1	SATD
2	SATD
3	SATD
4	SATD
5	SATD
6	SATD
7	SATD
8	SATD
9	SATD
10	SATD
11	NONSATD
12	NONSATD
13	SATD
14	SATD
15	NONSATD
16	NONSATD
17	SATD
18	SATD
19	NONSATD
20	SATD
21	SATD
22	SATD
23	SATD
24	SATD
25	SATD
26	SATD
27	SATD
28	SATD
29	NONSATD
30	SATD
31	SATD
32	SATD
33	NONSATD
34	NONSATD
35	SATD
36	SATD
37	SATD
38	SATD
39	SATD
40	SATD
41	SATD
42	SATD
43	NONSATD
44	SATD
45	SATD
46	SATD
47	SATD
48	SATD
49	NONSATD
50	NONSATD
51	SATD
52	SATD
53	SATD
54	SATD
55	SATD
56	SATD
57	NONSATD
58	SATD
59	SATD
60	SATD
61	SATD
62	NONSATD
63	SATD
64	SATD
65	SATD
66	SATD
67	SATD
68	SATD
69	NONSATD
70	NONSATD
71	NONSATD
72	SATD
73	SATD
74	SATD
75	NONSATD
76	SATD
77	SATD
78	SATD
79	SATD
80	SATD
81	NONSATD
82	SATD
83	SATD
84	SATD
85	NONSATD
86	SATD
87	SATD
88	NONSATD
89	NONSATD
90	SATD
91	SATD
92	SATD
93	SATD
94	SATD
95	SATD
96	NONSATD
97	SATD
98	SATD
99	SATD
100	SATD
101	SATD
102	SATD
103	SATD
104	SATD
105	SATD
106	SATD
107	SATD
108	SATD
109	SATD
110	SATD
111	SATD
112	SATD
113	SATD
114	SATD
115	SATD
116	SATD
117	SATD
118	SATD
119	SATD
120	SATD
121	NONSATD
122	SATD
123	SATD
124	SATD
125	SATD
126	SATD
127	SATD
128	SATD
129	NONSATD
130	SATD
131	SATD
132	SATD
133	SATD
134	SATD
135	SATD
136	SATD
137	SATD
138	SATD
139	SATD
140	SATD
141	SATD
142	SATD
143	SATD
144	SATD
145	SATD
146	SATD
147	SATD
148	NONSATD
149	SATD
150	SATD
151	SATD
152	SATD
153	SATD
154	SATD
155	SATD
156	SATD
157	SATD
158	SATD
159	SATD
160	SATD
161	SATD
162	SATD
163	SATD
164	SATD
165	SATD
166	NONSATD
167	SATD
168	NONSATD
169	SATD
170	SATD
171	SATD
172	SATD
173	SATD
174	SATD
175	SATD
176	SATD
177	SATD
178	SATD
179	SATD
180	SATD
181	SATD
182	SATD
183	SATD
184	SATD
185	SATD
186	SATD
187	SATD
188	SATD
189	NONSATD
190	SATD
191	SATD
192	SATD
193	SATD
194	NONSATD
195	SATD
196	SATD
197	SATD
198	SATD
199	SATD
200	NONSATD
201	SATD
202	SATD
203	SATD
204	SATD
205	SATD
206	SATD
207	SATD
208	SATD
209	SATD
210	SATD
211	SATD
212	SATD
213	SATD
214	SATD
215	SATD
216	SATD
217	SATD
218	NONSATD
219	SATD
220	SATD
221	SATD
222	SATD
223	NONSATD
224	SATD
225	SATD
226	SATD
227	SATD
228	SATD
229	SATD
230	SATD
231	SATD
232	SATD
233	NONSATD
234	SATD
235	SATD
236	SATD
237	SATD
238	SATD
239	SATD
240	SATD
241	SATD
242	SATD
243	SATD
244	SATD
245	SATD
246	SATD
247	SATD
248	SATD
249	NONSATD
250	SATD
251	SATD
252	SATD
253	SATD
254	NONSATD
255	NONSATD
256	SATD
257	NONSATD
258	SATD
259	SATD
260	SATD
261	NONSATD
262	SATD
263	SATD
264	SATD
265	SATD
266	SATD
267	SATD
268	SATD
269	NONSATD
270	SATD
271	SATD
272	SATD
273	SATD
274	SATD
275	SATD
276	NONSATD
277	SATD
278	SATD
279	SATD
280	SATD
281	SATD
282	NONSATD
283	SATD
284	NONSATD
285	SATD
286	NONSATD
287	SATD
288	SATD
289	SATD
290	SATD
291	SATD
292	NONSATD
293	SATD
294	SATD
295	SATD
296	SATD
297	SATD
298	SATD
299	SATD
300	SATD
301	SATD
302	SATD
303	SATD
304	SATD
305	SATD
306	NONSATD
307	NONSATD
308	SATD
309	SATD
310	SATD
311	SATD
312	SATD
313	SATD
314	SATD
315	SATD
316	SATD
317	SATD
318	SATD
319	NONSATD
320	SATD
321	SATD
322	SATD
323	SATD
324	SATD
325	SATD
326	SATD
327	SATD
328	SATD
329	SATD
330	SATD
331	SATD
332	SATD
333	SATD
334	SATD
335	SATD
336	SATD
337	SATD
338	SATD
339	SATD
340	NONSATD
341	SATD
342	SATD
343	SATD
344	SATD
345	SATD
346	SATD
347	SATD
348	SATD
349	SATD
350	SATD
351	SATD
352	SATD
353	SATD
354	SATD
355	SATD
356	SATD
357	SATD
358	SATD
359	SATD
360	SATD
361	SATD
362	SATD
363	SATD
364	SATD
365	NONSATD
366	SATD
367	SATD
368	SATD
369	SATD
370	SATD
371	SATD
372	SATD
373	NONSATD
374	SATD
375	SATD
376	SATD
377	SATD
378	SATD
379	SATD
380	SATD
381	SATD
382	SATD
383	SATD
384	SATD
385	SATD
386	SATD
387	SATD
388	SATD
389	SATD
390	SATD
391	SATD
392	SATD
393	SATD
394	SATD
395	SATD
396	SATD
397	SATD
398	SATD
399	SATD
400	SATD
401	SATD
402	SATD
403	NONSATD
404	SATD
405	SATD
406	SATD
407	SATD
408	SATD
409	SATD
410	SATD
411	SATD
412	SATD
413	SATD
414	NONSATD
415	SATD
416	NONSATD
417	NONSATD
418	NONSATD
419	NONSATD
420	SATD
421	SATD
422	NONSATD
423	SATD
424	SATD
425	SATD
426	SATD
427	SATD
428	SATD
429	SATD
430	SATD
431	SATD
432	SATD
433	SATD
434	SATD
435	NONSATD
436	SATD
437	SATD
438	SATD
439	SATD
440	SATD
441	SATD
442	SATD
443	SATD
444	SATD
445	SATD
446	SATD
447	SATD
448	NONSATD
449	SATD
450	SATD
451	SATD
452	SATD
453	SATD
454	SATD
455	SATD
456	SATD
457	NONSATD
458	SATD
459	SATD
460	NONSATD
461	NONSATD
462	NONSATD
463	NONSATD
464	NONSATD
465	SATD
466	NONSATD
467	NONSATD
468	NONSATD
469	SATD
470	NONSATD
471	NONSATD
472	NONSATD
473	NONSATD
474	NONSATD
475	NONSATD
476	NONSATD
477	NONSATD
478	NONSATD
479	NONSATD
480	NONSATD
481	NONSATD
482	NONSATD
483	NONSATD
484	NONSATD
485	NONSATD
486	NONSATD
487	NONSATD
488	NONSATD
489	NONSATD
490	NONSATD
491	NONSATD
492	NONSATD
493	NONSATD
494	NONSATD
495	NONSATD
496	NONSATD
497	NONSATD
498	NONSATD
499	NONSATD
500	NONSATD
501	NONSATD
502	NONSATD
503	NONSATD
504	NONSATD
505	NONSATD
506	NONSATD
507	NONSATD
508	NONSATD
509	NONSATD
510	NONSATD
511	NONSATD
512	NONSATD
513	NONSATD
514	NONSATD
515	NONSATD
516	NONSATD
517	NONSATD
518	NONSATD
519	NONSATD
520	NONSATD
521	NONSATD
522	NONSATD
523	NONSATD
524	NONSATD
525	NONSATD
526	NONSATD
527	NONSATD
528	NONSATD
529	NONSATD
530	NONSATD
531	NONSATD
532	NONSATD
533	NONSATD
534	NONSATD
535	NONSATD
536	NONSATD
537	NONSATD
538	NONSATD
539	NONSATD
540	NONSATD
541	NONSATD
542	NONSATD
543	NONSATD
544	NONSATD
545	NONSATD
546	NONSATD
547	NONSATD
548	NONSATD
549	NONSATD
550	NONSATD
551	NONSATD
552	NONSATD
553	NONSATD
554	NONSATD
555	NONSATD
556	NONSATD
557	NONSATD
558	NONSATD
559	NONSATD
560	NONSATD
561	NONSATD
562	NONSATD
563	NONSATD
564	NONSATD
565	NONSATD
566	NONSATD
567	NONSATD
568	NONSATD
569	NONSATD
570	NONSATD
571	NONSATD
572	NONSATD
573	NONSATD
574	NONSATD
575	NONSATD
576	NONSATD
577	NONSATD
578	NONSATD
579	NONSATD
580	SATD
581	NONSATD
582	NONSATD
583	NONSATD
584	NONSATD
585	NONSATD
586	NONSATD
587	NONSATD
588	NONSATD
589	NONSATD
590	NONSATD
591	NONSATD
592	NONSATD
593	NONSATD
594	NONSATD
595	NONSATD
596	NONSATD
597	NONSATD
598	NONSATD
599	NONSATD
600	NONSATD
601	NONSATD
602	NONSATD
603	NONSATD
604	NONSATD
605	NONSATD
606	NONSATD
607	NONSATD
608	NONSATD
609	NONSATD
610	NONSATD
611	NONSATD
612	NONSATD
613	NONSATD
614	NONSATD
615	NONSATD
616	NONSATD
617	NONSATD
618	NONSATD
619	NONSATD
620	NONSATD
621	NONSATD
622	NONSATD
623	NONSATD
624	NONSATD
625	NONSATD
626	NONSATD
627	NONSATD
628	NONSATD
629	NONSATD
630	NONSATD
631	NONSATD
632	NONSATD
633	SATD
634	NONSATD
635	NONSATD
636	NONSATD
637	NONSATD
638	NONSATD
639	NONSATD
640	NONSATD
641	NONSATD
642	NONSATD
643	NONSATD
644	NONSATD
645	NONSATD
646	NONSATD
647	NONSATD
648	NONSATD
649	NONSATD
650	NONSATD
651	NONSATD
652	NONSATD
653	NONSATD
654	NONSATD
655	NONSATD
656	NONSATD
657	NONSATD
658	NONSATD
659	NONSATD
660	NONSATD
661	NONSATD
662	NONSATD
663	NONSATD
664	SATD
665	NONSATD
666	NONSATD
667	NONSATD
668	SATD
669	NONSATD
670	NONSATD
671	NONSATD
672	NONSATD
673	NONSATD
674	NONSATD
675	NONSATD
676	NONSATD
677	NONSATD
678	NONSATD
679	NONSATD
680	NONSATD
681	NONSATD
682	NONSATD
683	NONSATD
684	NONSATD
685	NONSATD
686	NONSATD
687	NONSATD
688	NONSATD
689	NONSATD
690	NONSATD
691	NONSATD
692	NONSATD
693	NONSATD
694	NONSATD
695	NONSATD
696	NONSATD
697	NONSATD
698	NONSATD
699	NONSATD
700	NONSATD
701	NONSATD
702	NONSATD
703	NONSATD
704	NONSATD
705	NONSATD
706	NONSATD
707	NONSATD
708	NONSATD
709	NONSATD
710	NONSATD
711	NONSATD
712	NONSATD
713	NONSATD
714	NONSATD
715	NONSATD
716	NONSATD
717	NONSATD
718	NONSATD
719	NONSATD
720	NONSATD
721	NONSATD
722	NONSATD
723	NONSATD
724	NONSATD
725	NONSATD
726	NONSATD
727	NONSATD
728	NONSATD
729	NONSATD
730	NONSATD
731	NONSATD
732	NONSATD
733	NONSATD
734	NONSATD
735	NONSATD
736	NONSATD
737	NONSATD
738	NONSATD
739	NONSATD
740	NONSATD
741	NONSATD
742	NONSATD
743	NONSATD
744	NONSATD
745	NONSATD
746	NONSATD
747	NONSATD
748	NONSATD
749	NONSATD
750	NONSATD
751	NONSATD
752	NONSATD
753	NONSATD
754	NONSATD
755	NONSATD
756	NONSATD
757	NONSATD
758	NONSATD
759	NONSATD
760	NONSATD
761	NONSATD
762	NONSATD
763	NONSATD
764	NONSATD
765	NONSATD
766	NONSATD
767	NONSATD
768	NONSATD
769	NONSATD
770	NONSATD
771	NONSATD
772	NONSATD
773	NONSATD
774	NONSATD
775	NONSATD
776	NONSATD
777	NONSATD
778	NONSATD
779	NONSATD
780	NONSATD
781	NONSATD
782	NONSATD
783	NONSATD
784	NONSATD
785	SATD
786	NONSATD
787	NONSATD
788	NONSATD
789	NONSATD
790	NONSATD
791	NONSATD
792	NONSATD
793	NONSATD
794	NONSATD
795	NONSATD
796	NONSATD
797	SATD
798	NONSATD
799	NONSATD
800	NONSATD
801	NONSATD
802	NONSATD
803	NONSATD
804	NONSATD
805	NONSATD
806	NONSATD
807	NONSATD
808	NONSATD
809	NONSATD
810	NONSATD
811	SATD
812	NONSATD
813	NONSATD
814	NONSATD
815	NONSATD
816	NONSATD
817	NONSATD
818	NONSATD
819	NONSATD
820	NONSATD
821	NONSATD
822	NONSATD
823	NONSATD
824	NONSATD
825	NONSATD
826	NONSATD
827	NONSATD
828	NONSATD
829	NONSATD
830	NONSATD
831	NONSATD
832	NONSATD
833	NONSATD
834	NONSATD
835	NONSATD
836	NONSATD
837	NONSATD
838	NONSATD
839	NONSATD
840	NONSATD
841	NONSATD
842	NONSATD
843	NONSATD
844	NONSATD
845	NONSATD
846	NONSATD
847	NONSATD
848	NONSATD
849	NONSATD
850	NONSATD
851	NONSATD
852	NONSATD
853	NONSATD
854	NONSATD
855	NONSATD
856	NONSATD
857	NONSATD
858	NONSATD
859	NONSATD
860	NONSATD
861	NONSATD
862	NONSATD
863	NONSATD
864	NONSATD
865	NONSATD
866	NONSATD
867	NONSATD
868	NONSATD
869	NONSATD
870	NONSATD
871	NONSATD
872	NONSATD
873	NONSATD
874	NONSATD
875	NONSATD
876	NONSATD
877	NONSATD
878	NONSATD
879	NONSATD
880	NONSATD
881	NONSATD
882	NONSATD
883	NONSATD
884	NONSATD
885	NONSATD
886	NONSATD
887	NONSATD
888	NONSATD
889	NONSATD
890	NONSATD
891	NONSATD
892	NONSATD
893	NONSATD
894	NONSATD
895	NONSATD
896	NONSATD
897	NONSATD
898	NONSATD
899	NONSATD
900	NONSATD
901	NONSATD
902	NONSATD
903	NONSATD
904	NONSATD
905	NONSATD
906	NONSATD
907	NONSATD
908	NONSATD
909	NONSATD
910	NONSATD
911	NONSATD
912	NONSATD
913	NONSATD
914	NONSATD
915	NONSATD
916	NONSATD
917	NONSATD
918	NONSATD
919	NONSATD
920	NONSATD
921	NONSATD
922	NONSATD
923	NONSATD
924	NONSATD
925	NONSATD
926	NONSATD
927	NONSATD
928	NONSATD
929	NONSATD
930	NONSATD
931	NONSATD
932	NONSATD
933	NONSATD
934	NONSATD
935	NONSATD
936	NONSATD
937	SATD
938	NONSATD
939	NONSATD
940	NONSATD
941	NONSATD
942	NONSATD
943	NONSATD
944	NONSATD
945	NONSATD
946	NONSATD
947	SATD
948	NONSATD
949	NONSATD
950	SATD
951	NONSATD
952	NONSATD
953	NONSATD
954	NONSATD
955	NONSATD
956	NONSATD
957	NONSATD
958	NONSATD
959	NONSATD
960	NONSATD
961	NONSATD
962	NONSATD
963	NONSATD
964	NONSATD
965	NONSATD
966	NONSATD
967	NONSATD
968	NONSATD
969	NONSATD
970	NONSATD
971	NONSATD
972	NONSATD
973	NONSATD
974	NONSATD
975	NONSATD
976	NONSATD
977	NONSATD
978	NONSATD
979	NONSATD
980	NONSATD
981	NONSATD
982	NONSATD
983	NONSATD
984	NONSATD
985	NONSATD
986	NONSATD
987	NONSATD
988	NONSATD
989	NONSATD
990	NONSATD
991	NONSATD
992	NONSATD
993	NONSATD
994	NONSATD
995	NONSATD
996	NONSATD
997	NONSATD
998	NONSATD
999	NONSATD
1000	NONSATD
1001	NONSATD
1002	NONSATD
1003	NONSATD
1004	NONSATD
1005	NONSATD
1006	NONSATD
1007	NONSATD
1008	NONSATD
1009	NONSATD
1010	NONSATD
1011	NONSATD
1012	NONSATD
1013	NONSATD
1014	NONSATD
1015	NONSATD
1016	NONSATD
1017	SATD
1018	NONSATD
1019	NONSATD
1020	NONSATD
1021	NONSATD
1022	NONSATD
1023	NONSATD
1024	NONSATD
1025	NONSATD
1026	NONSATD
1027	NONSATD
1028	NONSATD
1029	NONSATD
1030	NONSATD
1031	NONSATD
1032	NONSATD
1033	NONSATD
1034	NONSATD
1035	NONSATD
1036	NONSATD
1037	NONSATD
1038	NONSATD
1039	NONSATD
1040	NONSATD
1041	NONSATD
1042	NONSATD
1043	NONSATD
1044	NONSATD
1045	NONSATD
1046	NONSATD
1047	NONSATD
1048	NONSATD
1049	NONSATD
1050	NONSATD
