index	prediction
0	NONSATD
1	NONSATD
2	IMPLEMENTATION
3	IMPLEMENTATION
4	DESIGN
5	DEFECT
6	DEFECT
7	DESIGN
8	NONSATD
9	NONSATD
10	DESIGN
11	NONSATD
12	DESIGN
13	DESIGN
14	DESIGN
15	DESIGN
16	DESIGN
17	DESIGN
18	NONSATD
19	NONSATD
20	NONSATD
21	NONSATD
22	DESIGN
23	NONSATD
24	NONSATD
25	NONSATD
26	IMPLEMENTATION
27	NONSATD
28	NONSATD
29	DESIGN
30	NONSATD
31	DESIGN
32	NONSATD
33	NONSATD
34	DEFECT
35	NONSATD
36	DESIGN
37	NONSATD
38	IMPLEMENTATION
39	NONSATD
40	NONSATD
41	DESIGN
42	NONSATD
43	NONSATD
44	NONSATD
45	NONSATD
46	DESIGN
47	DEFECT
48	IMPLEMENTATION
49	NONSATD
50	NONSATD
51	NONSATD
52	DESIGN
53	DESIGN
54	NONSATD
55	NONSATD
56	DESIGN
57	IMPLEMENTATION
58	NONSATD
59	DESIGN
60	IMPLEMENTATION
61	NONSATD
62	NONSATD
63	NONSATD
64	NONSATD
65	NONSATD
66	NONSATD
67	DESIGN
68	DEFECT
69	NONSATD
70	DESIGN
71	NONSATD
72	NONSATD
73	NONSATD
74	NONSATD
75	NONSATD
76	NONSATD
77	NONSATD
78	NONSATD
79	NONSATD
80	NONSATD
81	NONSATD
82	NONSATD
83	NONSATD
84	NONSATD
85	NONSATD
86	NONSATD
87	NONSATD
88	NONSATD
89	NONSATD
90	NONSATD
91	NONSATD
92	NONSATD
93	NONSATD
94	NONSATD
95	NONSATD
96	NONSATD
97	NONSATD
98	NONSATD
99	NONSATD
100	NONSATD
101	NONSATD
102	NONSATD
103	NONSATD
104	NONSATD
105	NONSATD
106	NONSATD
107	NONSATD
108	NONSATD
109	NONSATD
110	NONSATD
111	NONSATD
112	NONSATD
113	NONSATD
114	NONSATD
115	NONSATD
116	NONSATD
117	NONSATD
118	NONSATD
119	NONSATD
120	NONSATD
121	NONSATD
122	NONSATD
123	NONSATD
124	DEFECT
125	NONSATD
126	NONSATD
127	NONSATD
128	NONSATD
129	NONSATD
130	NONSATD
131	NONSATD
132	NONSATD
133	DEFECT
134	DEFECT
135	NONSATD
136	NONSATD
137	NONSATD
138	NONSATD
139	NONSATD
140	NONSATD
141	NONSATD
142	NONSATD
143	NONSATD
144	NONSATD
145	NONSATD
146	NONSATD
147	NONSATD
148	NONSATD
149	NONSATD
150	NONSATD
151	NONSATD
152	NONSATD
153	NONSATD
154	NONSATD
155	NONSATD
156	NONSATD
157	NONSATD
158	NONSATD
159	NONSATD
160	NONSATD
161	NONSATD
162	NONSATD
163	NONSATD
164	NONSATD
165	NONSATD
166	NONSATD
167	NONSATD
168	NONSATD
169	NONSATD
170	NONSATD
171	NONSATD
172	NONSATD
173	DESIGN
174	NONSATD
175	IMPLEMENTATION
176	DEFECT
177	DESIGN
178	DESIGN
179	DESIGN
180	NONSATD
181	NONSATD
182	NONSATD
183	NONSATD
184	IMPLEMENTATION
185	NONSATD
186	NONSATD
187	NONSATD
188	NONSATD
189	NONSATD
190	DEFECT
191	NONSATD
192	DESIGN
193	NONSATD
194	DESIGN
195	IMPLEMENTATION
196	NONSATD
197	NONSATD
198	NONSATD
199	NONSATD
200	NONSATD
201	NONSATD
202	NONSATD
203	NONSATD
204	NONSATD
205	NONSATD
206	NONSATD
207	DESIGN
208	IMPLEMENTATION
209	NONSATD
210	IMPLEMENTATION
211	IMPLEMENTATION
212	IMPLEMENTATION
213	NONSATD
214	DESIGN
215	DESIGN
216	NONSATD
217	NONSATD
