index	prediction
0	SATD
1	SATD
2	SATD
3	SATD
4	SATD
5	SATD
6	SATD
7	SATD
8	SATD
9	SATD
10	SATD
11	SATD
12	SATD
13	SATD
14	SATD
15	SATD
16	SATD
17	SATD
18	SATD
19	SATD
20	SATD
21	SATD
22	SATD
23	SATD
24	SATD
25	SATD
26	SATD
27	SATD
28	SATD
29	SATD
30	SATD
31	SATD
32	SATD
33	SATD
34	SATD
35	NONSATD
36	SATD
37	NONSATD
38	SATD
39	SATD
40	SATD
41	SATD
42	SATD
43	SATD
44	SATD
45	SATD
46	SATD
47	SATD
48	SATD
49	SATD
50	SATD
51	SATD
52	SATD
53	SATD
54	SATD
55	SATD
56	SATD
57	SATD
58	SATD
59	SATD
60	SATD
61	SATD
62	SATD
63	SATD
64	NONSATD
65	SATD
66	SATD
67	SATD
68	SATD
69	NONSATD
70	SATD
71	SATD
72	NONSATD
73	SATD
74	SATD
75	SATD
76	SATD
77	NONSATD
78	SATD
79	NONSATD
80	SATD
81	SATD
82	SATD
83	SATD
84	SATD
85	SATD
86	NONSATD
87	SATD
88	SATD
89	NONSATD
90	SATD
91	SATD
92	SATD
93	SATD
94	SATD
95	SATD
96	NONSATD
97	SATD
98	SATD
99	SATD
100	SATD
101	SATD
102	NONSATD
103	SATD
104	SATD
105	SATD
106	SATD
107	SATD
108	SATD
109	SATD
110	SATD
111	SATD
112	SATD
113	SATD
114	SATD
115	SATD
116	SATD
117	SATD
118	SATD
119	SATD
120	SATD
121	SATD
122	NONSATD
123	SATD
124	SATD
125	SATD
126	SATD
127	SATD
128	SATD
129	SATD
130	SATD
131	SATD
132	SATD
133	SATD
134	SATD
135	SATD
136	SATD
137	SATD
138	SATD
139	SATD
140	SATD
141	SATD
142	SATD
143	SATD
144	SATD
145	SATD
146	SATD
147	SATD
148	SATD
149	SATD
150	SATD
151	SATD
152	SATD
153	SATD
154	SATD
155	SATD
156	SATD
157	SATD
158	SATD
159	SATD
160	SATD
161	SATD
162	SATD
163	SATD
164	SATD
165	SATD
166	SATD
167	SATD
168	NONSATD
169	SATD
170	SATD
171	SATD
172	SATD
173	SATD
174	SATD
175	SATD
176	SATD
177	SATD
178	SATD
179	NONSATD
180	SATD
181	SATD
182	SATD
183	SATD
184	SATD
185	SATD
186	SATD
187	SATD
188	SATD
189	SATD
190	SATD
191	SATD
192	SATD
193	SATD
194	SATD
195	SATD
196	SATD
197	SATD
198	SATD
199	SATD
200	SATD
201	SATD
202	SATD
203	NONSATD
204	SATD
205	SATD
206	SATD
207	SATD
208	SATD
209	SATD
210	SATD
211	SATD
212	SATD
213	SATD
214	SATD
215	SATD
216	SATD
217	SATD
218	SATD
219	SATD
220	SATD
221	NONSATD
222	SATD
223	SATD
224	SATD
225	SATD
226	SATD
227	NONSATD
228	SATD
229	SATD
230	SATD
231	SATD
232	SATD
233	SATD
234	SATD
235	NONSATD
236	SATD
237	SATD
238	SATD
239	SATD
240	SATD
241	SATD
242	SATD
243	SATD
244	SATD
245	SATD
246	SATD
247	SATD
248	SATD
249	SATD
250	SATD
251	SATD
252	SATD
253	SATD
254	SATD
255	SATD
256	SATD
257	SATD
258	SATD
259	SATD
260	SATD
261	SATD
262	SATD
263	SATD
264	SATD
265	SATD
266	SATD
267	SATD
268	SATD
269	SATD
270	SATD
271	SATD
272	SATD
273	SATD
274	SATD
275	SATD
276	SATD
277	SATD
278	SATD
279	SATD
280	SATD
281	SATD
282	SATD
283	SATD
284	SATD
285	SATD
286	SATD
287	SATD
288	SATD
289	SATD
290	SATD
291	SATD
292	SATD
293	SATD
294	SATD
295	NONSATD
296	NONSATD
297	SATD
298	SATD
299	SATD
300	NONSATD
301	SATD
302	SATD
303	SATD
304	SATD
305	SATD
306	SATD
307	SATD
308	SATD
309	SATD
310	SATD
311	SATD
312	SATD
313	SATD
314	SATD
315	SATD
316	NONSATD
317	SATD
318	SATD
319	SATD
320	SATD
321	SATD
322	SATD
323	SATD
324	SATD
325	SATD
326	SATD
327	SATD
328	SATD
329	SATD
330	SATD
331	SATD
332	SATD
333	SATD
334	SATD
335	SATD
336	SATD
337	SATD
338	SATD
339	SATD
340	SATD
341	SATD
342	SATD
343	SATD
344	SATD
345	SATD
346	SATD
347	SATD
348	SATD
349	SATD
350	SATD
351	SATD
352	SATD
353	SATD
354	SATD
355	SATD
356	SATD
357	SATD
358	SATD
359	SATD
360	SATD
361	SATD
362	SATD
363	SATD
364	SATD
365	SATD
366	SATD
367	SATD
368	SATD
369	SATD
370	SATD
371	SATD
372	SATD
373	SATD
374	SATD
375	NONSATD
376	SATD
377	SATD
378	SATD
379	SATD
380	SATD
381	SATD
382	SATD
383	NONSATD
384	SATD
385	SATD
386	SATD
387	SATD
388	SATD
389	SATD
390	SATD
391	SATD
392	SATD
393	SATD
394	SATD
395	SATD
396	SATD
397	SATD
398	SATD
399	SATD
400	SATD
401	SATD
402	SATD
403	SATD
404	NONSATD
405	SATD
406	SATD
407	SATD
408	SATD
409	SATD
410	SATD
411	SATD
412	SATD
413	SATD
414	SATD
415	SATD
416	SATD
417	SATD
418	SATD
419	SATD
420	SATD
421	SATD
422	SATD
423	SATD
424	SATD
425	SATD
426	SATD
427	SATD
428	SATD
429	SATD
430	SATD
431	SATD
432	SATD
433	SATD
434	SATD
435	SATD
436	SATD
437	SATD
438	SATD
439	SATD
440	SATD
441	SATD
442	SATD
443	SATD
444	SATD
445	SATD
446	SATD
447	SATD
448	SATD
449	SATD
450	SATD
451	SATD
452	SATD
453	SATD
454	SATD
455	SATD
456	SATD
457	SATD
458	SATD
459	SATD
460	SATD
461	SATD
462	SATD
463	SATD
464	SATD
465	SATD
466	SATD
467	SATD
468	SATD
469	SATD
470	SATD
471	SATD
472	SATD
473	SATD
474	SATD
475	SATD
476	SATD
477	SATD
478	SATD
479	SATD
480	SATD
481	SATD
482	SATD
483	SATD
484	SATD
485	SATD
486	SATD
487	SATD
488	SATD
489	SATD
490	SATD
491	SATD
492	SATD
493	SATD
494	SATD
495	NONSATD
496	SATD
497	SATD
498	SATD
499	SATD
500	SATD
501	SATD
502	SATD
503	SATD
504	SATD
505	SATD
506	SATD
507	SATD
508	SATD
509	SATD
510	SATD
511	SATD
512	SATD
513	SATD
514	SATD
515	SATD
516	NONSATD
517	SATD
518	SATD
519	SATD
520	SATD
521	SATD
522	SATD
523	SATD
524	SATD
525	SATD
526	SATD
527	SATD
528	SATD
529	SATD
530	SATD
531	SATD
532	SATD
533	SATD
534	SATD
535	SATD
536	SATD
537	SATD
538	SATD
539	SATD
540	SATD
541	SATD
542	SATD
543	SATD
544	SATD
545	SATD
546	SATD
547	SATD
548	SATD
549	SATD
550	SATD
551	SATD
552	SATD
553	SATD
554	SATD
555	SATD
556	SATD
557	SATD
558	SATD
559	SATD
560	SATD
561	SATD
562	SATD
563	SATD
564	SATD
565	SATD
566	SATD
567	SATD
568	SATD
569	SATD
570	SATD
571	SATD
572	SATD
573	SATD
574	SATD
575	SATD
576	SATD
577	SATD
578	SATD
579	SATD
580	SATD
581	SATD
582	SATD
583	SATD
584	SATD
585	SATD
586	SATD
587	SATD
588	SATD
589	SATD
590	SATD
591	SATD
592	SATD
593	NONSATD
594	SATD
595	SATD
596	SATD
597	SATD
598	SATD
599	SATD
600	SATD
601	SATD
602	SATD
603	SATD
604	SATD
605	SATD
606	SATD
607	SATD
608	SATD
609	SATD
610	SATD
611	SATD
612	SATD
613	SATD
614	SATD
615	SATD
616	SATD
617	SATD
618	SATD
619	SATD
620	SATD
621	SATD
622	NONSATD
623	SATD
624	SATD
625	SATD
626	SATD
627	SATD
628	SATD
629	SATD
630	SATD
631	SATD
632	NONSATD
633	SATD
634	SATD
635	SATD
636	SATD
637	SATD
638	SATD
639	SATD
640	SATD
641	SATD
642	SATD
643	SATD
644	SATD
645	SATD
646	SATD
647	SATD
648	SATD
649	SATD
650	SATD
651	SATD
652	SATD
653	SATD
654	SATD
655	SATD
656	SATD
657	SATD
658	SATD
659	SATD
660	SATD
661	SATD
662	SATD
663	SATD
664	SATD
665	SATD
666	SATD
667	SATD
668	SATD
669	SATD
670	SATD
671	SATD
672	SATD
673	SATD
674	SATD
675	SATD
676	NONSATD
677	SATD
678	SATD
679	SATD
680	SATD
681	SATD
682	SATD
683	SATD
684	SATD
685	SATD
686	SATD
687	SATD
688	SATD
689	SATD
690	SATD
691	SATD
692	SATD
693	SATD
694	SATD
695	SATD
696	SATD
697	SATD
698	SATD
699	SATD
700	SATD
701	SATD
702	SATD
703	SATD
704	SATD
705	SATD
706	SATD
707	SATD
708	SATD
709	SATD
710	SATD
711	SATD
712	SATD
713	SATD
714	SATD
715	SATD
716	NONSATD
717	SATD
718	SATD
719	SATD
720	SATD
721	SATD
722	SATD
723	SATD
724	SATD
725	SATD
726	SATD
727	SATD
728	SATD
729	SATD
730	SATD
731	SATD
732	SATD
733	SATD
734	NONSATD
735	SATD
736	SATD
737	SATD
738	SATD
739	SATD
740	SATD
741	SATD
742	SATD
743	SATD
744	SATD
745	SATD
746	SATD
747	SATD
748	SATD
749	SATD
750	SATD
751	SATD
752	SATD
753	SATD
754	SATD
755	SATD
756	SATD
757	SATD
758	SATD
759	SATD
760	SATD
761	SATD
762	SATD
763	SATD
764	SATD
765	SATD
766	SATD
767	SATD
768	SATD
769	SATD
770	SATD
771	SATD
772	SATD
773	SATD
774	SATD
775	SATD
776	SATD
777	SATD
778	SATD
779	SATD
780	SATD
781	SATD
782	SATD
783	SATD
784	SATD
785	SATD
786	SATD
787	SATD
788	SATD
789	SATD
790	SATD
791	SATD
792	SATD
793	SATD
794	SATD
795	SATD
796	SATD
797	SATD
798	SATD
799	SATD
800	SATD
801	SATD
802	SATD
803	SATD
804	SATD
805	SATD
806	SATD
807	SATD
808	SATD
809	SATD
810	SATD
811	SATD
812	NONSATD
813	SATD
814	SATD
815	SATD
816	SATD
817	SATD
818	SATD
819	SATD
820	SATD
821	SATD
822	SATD
823	SATD
824	SATD
825	SATD
826	SATD
827	SATD
828	SATD
829	SATD
830	SATD
831	SATD
832	SATD
833	SATD
834	SATD
835	SATD
836	SATD
837	SATD
838	SATD
839	SATD
840	SATD
841	SATD
842	SATD
843	NONSATD
844	SATD
845	NONSATD
846	SATD
847	SATD
848	SATD
849	SATD
850	SATD
851	SATD
852	NONSATD
853	SATD
854	SATD
855	SATD
856	SATD
857	SATD
858	SATD
859	SATD
860	SATD
861	SATD
862	NONSATD
863	SATD
864	NONSATD
865	SATD
866	SATD
867	SATD
868	SATD
869	NONSATD
870	SATD
871	SATD
872	SATD
873	SATD
874	SATD
875	SATD
876	SATD
877	SATD
878	SATD
879	SATD
880	SATD
881	SATD
882	SATD
883	SATD
884	NONSATD
885	SATD
886	SATD
887	SATD
888	SATD
889	SATD
890	SATD
891	SATD
892	SATD
893	SATD
894	SATD
895	SATD
896	SATD
897	SATD
898	SATD
899	SATD
900	SATD
901	SATD
902	SATD
903	SATD
904	SATD
905	SATD
906	SATD
907	SATD
908	SATD
909	NONSATD
910	SATD
911	SATD
912	SATD
913	SATD
914	SATD
915	SATD
916	SATD
917	SATD
918	SATD
919	SATD
920	SATD
921	SATD
922	SATD
923	SATD
924	SATD
925	SATD
926	SATD
927	SATD
928	SATD
929	SATD
930	SATD
931	SATD
932	SATD
933	SATD
934	SATD
935	SATD
936	SATD
937	SATD
938	SATD
939	SATD
940	SATD
941	SATD
942	SATD
943	SATD
944	SATD
945	SATD
946	SATD
947	SATD
948	SATD
949	SATD
950	SATD
951	SATD
952	SATD
953	SATD
954	SATD
955	NONSATD
956	SATD
957	NONSATD
958	SATD
959	NONSATD
960	NONSATD
961	SATD
962	SATD
963	SATD
964	SATD
965	SATD
966	SATD
967	SATD
968	SATD
969	SATD
970	SATD
971	SATD
972	SATD
973	SATD
974	SATD
975	SATD
976	SATD
977	SATD
978	SATD
979	SATD
980	SATD
981	SATD
982	SATD
983	SATD
984	SATD
985	SATD
986	SATD
987	SATD
988	SATD
989	SATD
990	SATD
991	SATD
992	SATD
993	SATD
994	SATD
995	SATD
996	SATD
997	SATD
998	SATD
999	SATD
1000	SATD
1001	SATD
1002	SATD
1003	SATD
1004	SATD
1005	SATD
1006	SATD
1007	SATD
1008	SATD
1009	SATD
1010	SATD
1011	SATD
1012	SATD
1013	SATD
1014	SATD
1015	SATD
1016	SATD
1017	SATD
1018	SATD
1019	SATD
1020	SATD
1021	SATD
1022	SATD
1023	SATD
1024	SATD
1025	SATD
1026	SATD
1027	SATD
1028	SATD
1029	SATD
1030	SATD
1031	SATD
1032	SATD
1033	SATD
1034	SATD
1035	SATD
1036	SATD
1037	SATD
1038	SATD
1039	SATD
1040	SATD
1041	SATD
1042	SATD
1043	SATD
1044	SATD
1045	SATD
1046	SATD
1047	SATD
1048	SATD
1049	SATD
1050	SATD
1051	SATD
1052	SATD
1053	SATD
1054	SATD
1055	SATD
1056	SATD
1057	SATD
1058	SATD
1059	SATD
1060	SATD
1061	SATD
1062	SATD
1063	SATD
1064	SATD
1065	SATD
1066	SATD
1067	SATD
1068	SATD
1069	SATD
1070	SATD
1071	SATD
1072	SATD
1073	SATD
1074	SATD
1075	SATD
1076	SATD
1077	SATD
1078	SATD
1079	SATD
1080	SATD
1081	SATD
1082	SATD
1083	SATD
1084	NONSATD
1085	SATD
1086	SATD
1087	SATD
1088	SATD
1089	SATD
1090	SATD
1091	SATD
1092	NONSATD
1093	SATD
1094	SATD
1095	SATD
1096	SATD
1097	SATD
1098	SATD
1099	SATD
1100	SATD
1101	SATD
1102	SATD
1103	SATD
1104	SATD
1105	SATD
1106	SATD
1107	SATD
1108	SATD
1109	SATD
1110	SATD
1111	SATD
1112	NONSATD
1113	SATD
1114	SATD
1115	SATD
1116	SATD
1117	SATD
1118	NONSATD
1119	SATD
1120	SATD
1121	SATD
1122	SATD
1123	SATD
1124	SATD
1125	NONSATD
1126	SATD
1127	NONSATD
1128	SATD
1129	SATD
1130	SATD
1131	SATD
1132	SATD
1133	SATD
1134	SATD
1135	SATD
1136	SATD
1137	SATD
1138	SATD
1139	NONSATD
1140	NONSATD
1141	NONSATD
1142	NONSATD
1143	NONSATD
1144	NONSATD
1145	SATD
1146	NONSATD
1147	NONSATD
1148	NONSATD
1149	NONSATD
1150	NONSATD
1151	NONSATD
1152	NONSATD
1153	NONSATD
1154	NONSATD
1155	NONSATD
1156	NONSATD
1157	NONSATD
1158	NONSATD
1159	NONSATD
1160	NONSATD
1161	NONSATD
1162	NONSATD
1163	NONSATD
1164	NONSATD
1165	NONSATD
1166	NONSATD
1167	NONSATD
1168	NONSATD
1169	NONSATD
1170	NONSATD
1171	NONSATD
1172	NONSATD
1173	NONSATD
1174	NONSATD
1175	NONSATD
1176	NONSATD
1177	NONSATD
1178	NONSATD
1179	NONSATD
1180	NONSATD
1181	NONSATD
1182	NONSATD
1183	NONSATD
1184	SATD
1185	NONSATD
1186	NONSATD
1187	NONSATD
1188	NONSATD
1189	NONSATD
1190	NONSATD
1191	NONSATD
1192	NONSATD
1193	NONSATD
1194	NONSATD
1195	NONSATD
1196	NONSATD
1197	NONSATD
1198	NONSATD
1199	NONSATD
1200	NONSATD
