index	prediction
0	IMPLEMENTATION
1	DESIGN
2	DESIGN
3	DESIGN
4	DESIGN
5	DESIGN
6	DESIGN
7	DESIGN
8	DESIGN
9	IMPLEMENTATION
10	DESIGN
11	IMPLEMENTATION
12	IMPLEMENTATION
13	IMPLEMENTATION
14	IMPLEMENTATION
15	IMPLEMENTATION
16	DESIGN
17	DESIGN
18	IMPLEMENTATION
19	DESIGN
20	TEST
21	DESIGN
22	DESIGN
23	IMPLEMENTATION
24	DEFECT
25	DESIGN
26	IMPLEMENTATION
27	DESIGN
28	IMPLEMENTATION
29	IMPLEMENTATION
30	DESIGN
31	DESIGN
32	DEFECT
33	DEFECT
34	DEFECT
35	DEFECT
36	DESIGN
37	IMPLEMENTATION
38	IMPLEMENTATION
39	IMPLEMENTATION
40	DESIGN
41	IMPLEMENTATION
42	IMPLEMENTATION
43	DESIGN
44	DESIGN
45	IMPLEMENTATION
46	IMPLEMENTATION
47	DESIGN
48	DEFECT
49	DEFECT
50	IMPLEMENTATION
51	DESIGN
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	IMPLEMENTATION
57	DEFECT
58	IMPLEMENTATION
59	IMPLEMENTATION
60	DESIGN
61	IMPLEMENTATION
62	IMPLEMENTATION
63	DESIGN
64	DESIGN
65	IMPLEMENTATION
66	IMPLEMENTATION
67	IMPLEMENTATION
68	IMPLEMENTATION
69	IMPLEMENTATION
70	DESIGN
71	IMPLEMENTATION
72	IMPLEMENTATION
73	DESIGN
74	DESIGN
75	TEST
76	DESIGN
77	IMPLEMENTATION
78	IMPLEMENTATION
79	DESIGN
80	IMPLEMENTATION
81	IMPLEMENTATION
82	DESIGN
83	DEFECT
84	IMPLEMENTATION
85	IMPLEMENTATION
86	DESIGN
87	IMPLEMENTATION
88	IMPLEMENTATION
89	IMPLEMENTATION
90	IMPLEMENTATION
91	DESIGN
92	DESIGN
93	IMPLEMENTATION
94	IMPLEMENTATION
95	DESIGN
96	DESIGN
97	IMPLEMENTATION
98	IMPLEMENTATION
99	DESIGN
100	IMPLEMENTATION
101	DESIGN
102	DESIGN
103	IMPLEMENTATION
104	DESIGN
105	DEFECT
106	DEFECT
107	IMPLEMENTATION
108	DESIGN
109	DESIGN
110	IMPLEMENTATION
111	DESIGN
112	IMPLEMENTATION
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	IMPLEMENTATION
119	DESIGN
120	IMPLEMENTATION
121	DESIGN
122	DESIGN
123	DEFECT
124	DESIGN
125	DESIGN
126	IMPLEMENTATION
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DEFECT
132	DESIGN
133	DEFECT
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	IMPLEMENTATION
139	DESIGN
140	DESIGN
141	IMPLEMENTATION
142	IMPLEMENTATION
143	DESIGN
144	IMPLEMENTATION
145	DEFECT
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	IMPLEMENTATION
150	IMPLEMENTATION
151	DEFECT
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DESIGN
157	DESIGN
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	IMPLEMENTATION
165	DESIGN
166	DESIGN
167	IMPLEMENTATION
168	IMPLEMENTATION
169	DESIGN
170	IMPLEMENTATION
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	DESIGN
176	IMPLEMENTATION
177	DESIGN
178	DESIGN
179	DESIGN
180	IMPLEMENTATION
181	DESIGN
182	DESIGN
183	DEFECT
184	IMPLEMENTATION
185	DESIGN
186	DESIGN
187	IMPLEMENTATION
188	IMPLEMENTATION
189	DESIGN
190	DESIGN
191	DESIGN
192	IMPLEMENTATION
193	DESIGN
194	DESIGN
195	DESIGN
196	IMPLEMENTATION
197	DESIGN
198	IMPLEMENTATION
199	DESIGN
200	DESIGN
201	DESIGN
202	IMPLEMENTATION
203	IMPLEMENTATION
204	DEFECT
205	DESIGN
206	DESIGN
207	TEST
208	IMPLEMENTATION
209	DESIGN
210	DESIGN
211	DESIGN
212	DEFECT
213	DEFECT
214	IMPLEMENTATION
215	DESIGN
216	DESIGN
217	DESIGN
218	DEFECT
219	DESIGN
220	IMPLEMENTATION
221	DESIGN
222	DEFECT
223	DEFECT
224	DESIGN
225	DESIGN
226	IMPLEMENTATION
227	IMPLEMENTATION
228	DESIGN
229	IMPLEMENTATION
230	IMPLEMENTATION
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DESIGN
238	IMPLEMENTATION
239	DESIGN
240	DESIGN
241	IMPLEMENTATION
242	DESIGN
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DESIGN
252	IMPLEMENTATION
253	IMPLEMENTATION
254	IMPLEMENTATION
255	DESIGN
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	IMPLEMENTATION
260	DESIGN
261	DESIGN
262	DESIGN
263	DEFECT
264	DESIGN
265	DESIGN
266	DESIGN
267	IMPLEMENTATION
268	IMPLEMENTATION
269	IMPLEMENTATION
270	DESIGN
271	IMPLEMENTATION
272	IMPLEMENTATION
273	IMPLEMENTATION
274	IMPLEMENTATION
275	IMPLEMENTATION
276	IMPLEMENTATION
