index	prediction
0	DESIGN
1	DESIGN
2	DESIGN
3	DEFECT
4	IMPLEMENTATION
5	IMPLEMENTATION
6	DEFECT
7	DESIGN
8	DEFECT
9	IMPLEMENTATION
10	IMPLEMENTATION
11	DEFECT
12	DESIGN
13	DEFECT
14	TEST
15	DESIGN
16	TEST
17	DESIGN
18	IMPLEMENTATION
19	DESIGN
20	DEFECT
21	DESIGN
22	DESIGN
23	DESIGN
24	IMPLEMENTATION
25	DESIGN
26	IMPLEMENTATION
27	DESIGN
28	DESIGN
29	DESIGN
30	DEFECT
31	DESIGN
32	DEFECT
33	DESIGN
34	DESIGN
35	DESIGN
36	DESIGN
37	DESIGN
38	DESIGN
39	IMPLEMENTATION
40	DEFECT
41	DESIGN
42	DESIGN
43	IMPLEMENTATION
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	IMPLEMENTATION
49	DESIGN
50	DESIGN
51	IMPLEMENTATION
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DEFECT
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	IMPLEMENTATION
70	DESIGN
71	DESIGN
72	DESIGN
73	TEST
74	DESIGN
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DEFECT
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DEFECT
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	TEST
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DEFECT
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DEFECT
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DESIGN
133	IMPLEMENTATION
134	DESIGN
135	DESIGN
136	DEFECT
137	DESIGN
138	DESIGN
139	IMPLEMENTATION
140	DESIGN
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	DESIGN
147	DESIGN
148	DESIGN
149	IMPLEMENTATION
150	DESIGN
151	DESIGN
152	DESIGN
153	IMPLEMENTATION
154	DESIGN
155	DESIGN
156	DESIGN
157	IMPLEMENTATION
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DEFECT
175	DESIGN
176	DESIGN
177	DESIGN
178	TEST
179	DESIGN
180	IMPLEMENTATION
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DESIGN
186	DESIGN
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	IMPLEMENTATION
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DEFECT
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	IMPLEMENTATION
211	DESIGN
212	DESIGN
213	DESIGN
214	IMPLEMENTATION
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	TEST
220	DESIGN
221	IMPLEMENTATION
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	IMPLEMENTATION
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DESIGN
238	DESIGN
239	IMPLEMENTATION
240	IMPLEMENTATION
241	IMPLEMENTATION
242	IMPLEMENTATION
243	DESIGN
244	DESIGN
245	DESIGN
246	IMPLEMENTATION
247	IMPLEMENTATION
248	DESIGN
249	DESIGN
250	DESIGN
251	DESIGN
252	DESIGN
253	IMPLEMENTATION
254	DEFECT
255	DESIGN
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	IMPLEMENTATION
260	TEST
261	DESIGN
262	DESIGN
263	DESIGN
264	IMPLEMENTATION
265	DESIGN
266	IMPLEMENTATION
267	IMPLEMENTATION
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DESIGN
274	DESIGN
275	IMPLEMENTATION
276	DESIGN
277	DESIGN
278	DESIGN
279	DESIGN
280	IMPLEMENTATION
281	IMPLEMENTATION
282	DESIGN
283	DESIGN
284	DESIGN
285	DOCUMENTATION
286	DEFECT
287	IMPLEMENTATION
288	IMPLEMENTATION
289	IMPLEMENTATION
290	DEFECT
291	DESIGN
292	DESIGN
293	DESIGN
294	TEST
295	DEFECT
296	IMPLEMENTATION
297	DESIGN
298	IMPLEMENTATION
299	IMPLEMENTATION
300	IMPLEMENTATION
301	IMPLEMENTATION
302	IMPLEMENTATION
303	DESIGN
304	TEST
305	TEST
306	TEST
307	TEST
308	TEST
309	TEST
310	TEST
311	TEST
312	TEST
313	TEST
314	TEST
315	TEST
