index	prediction
0	1 0 0 0
1	1 0 0 0
2	1 0 0 0
3	1 0 0 0
4	1 0 0 0
5	0 0 0 0
6	0 0 0 0
7	1 0 0 0
8	1 0 0 0
9	1 0 0 0
10	0 0 0 1
11	1 0 0 0
12	0 0 0 0
13	0 1 0 0
14	1 0 0 0
15	1 0 0 0
16	0 0 0 0
17	1 0 0 0
18	0 0 0 1
19	0 0 0 1
20	1 0 0 0
21	0 0 0 0
22	0 1 0 0
23	1 0 0 0
24	0 0 0 0
25	1 1 0 0
26	1 0 0 0
27	0 1 0 0
28	1 0 0 0
29	0 1 0 0
30	0 0 0 0
31	1 0 0 0
32	0 0 1 0
33	1 0 0 0
34	0 0 0 0
35	1 0 0 0
36	0 0 0 0
37	1 1 0 0
38	0 1 0 0
39	0 0 0 0
40	1 0 0 0
41	1 0 0 0
42	0 1 0 0
43	1 1 0 0
44	1 0 0 0
45	1 0 0 0
46	1 1 0 0
47	1 0 0 0
48	1 0 0 0
49	0 0 0 0
50	0 0 0 0
51	1 0 0 0
52	1 0 0 0
53	1 0 0 0
54	1 0 0 0
55	1 0 0 0
56	1 0 0 0
57	0 1 0 0
58	0 1 0 0
59	0 0 0 0
60	1 1 0 0
61	1 0 0 0
62	0 0 0 0
63	1 0 0 0
64	1 0 0 0
65	0 0 0 0
66	0 0 0 0
67	1 0 0 0
68	0 0 1 0
69	0 1 0 0
70	0 1 0 0
71	0 1 0 0
72	0 0 0 0
73	0 0 0 0
74	1 0 0 0
75	1 0 0 0
76	0 1 0 0
77	1 0 0 0
78	0 1 0 0
79	1 0 0 0
80	1 0 0 0
81	1 1 0 0
82	0 1 0 0
83	0 0 0 0
84	0 1 0 0
85	0 1 0 0
86	1 0 0 0
87	0 0 0 0
88	0 0 0 0
89	1 0 0 0
