index	prediction
0	DEFECT
1	IMPLEMENTATION
2	DEFECT
3	DESIGN
4	DEFECT
5	DEFECT
6	DESIGN
7	IMPLEMENTATION
8	IMPLEMENTATION
9	IMPLEMENTATION
10	DEFECT
11	DEFECT
12	DESIGN
13	DESIGN
14	DESIGN
15	DESIGN
16	IMPLEMENTATION
17	DESIGN
18	DESIGN
19	DESIGN
20	IMPLEMENTATION
21	DESIGN
22	IMPLEMENTATION
23	IMPLEMENTATION
24	DESIGN
25	DESIGN
26	DEFECT
27	DESIGN
28	DEFECT
29	DESIGN
30	DESIGN
31	DESIGN
32	DESIGN
33	IMPLEMENTATION
34	IMPLEMENTATION
35	IMPLEMENTATION
36	IMPLEMENTATION
37	DEFECT
38	DESIGN
39	DEFECT
40	DESIGN
41	IMPLEMENTATION
42	DEFECT
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	IMPLEMENTATION
50	IMPLEMENTATION
51	DESIGN
52	DESIGN
53	DESIGN
54	DESIGN
55	DEFECT
56	IMPLEMENTATION
57	DESIGN
58	DESIGN
59	IMPLEMENTATION
60	DESIGN
61	IMPLEMENTATION
62	DESIGN
63	IMPLEMENTATION
64	DESIGN
65	DESIGN
66	IMPLEMENTATION
67	IMPLEMENTATION
68	DEFECT
69	DEFECT
70	DESIGN
71	DESIGN
72	DESIGN
73	DEFECT
74	IMPLEMENTATION
75	DESIGN
76	IMPLEMENTATION
77	DESIGN
78	IMPLEMENTATION
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	IMPLEMENTATION
84	DESIGN
85	DESIGN
86	IMPLEMENTATION
87	DESIGN
88	DESIGN
89	DEFECT
90	DESIGN
91	IMPLEMENTATION
92	IMPLEMENTATION
93	DESIGN
94	DESIGN
95	DESIGN
96	IMPLEMENTATION
97	DESIGN
98	DESIGN
99	DEFECT
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	DEFECT
107	IMPLEMENTATION
108	DESIGN
109	DESIGN
110	DEFECT
111	DESIGN
112	DOCUMENTATION
113	DOCUMENTATION
114	DOCUMENTATION
115	DOCUMENTATION
116	DOCUMENTATION
117	DOCUMENTATION
118	DOCUMENTATION
119	DOCUMENTATION
120	DOCUMENTATION
121	DOCUMENTATION
122	DOCUMENTATION
123	DOCUMENTATION
124	DOCUMENTATION
125	DOCUMENTATION
126	DESIGN
127	DESIGN
128	IMPLEMENTATION
129	IMPLEMENTATION
130	IMPLEMENTATION
131	DEFECT
132	IMPLEMENTATION
133	IMPLEMENTATION
134	DESIGN
135	IMPLEMENTATION
136	IMPLEMENTATION
137	DEFECT
138	IMPLEMENTATION
139	DESIGN
140	IMPLEMENTATION
141	IMPLEMENTATION
142	IMPLEMENTATION
143	IMPLEMENTATION
144	DESIGN
145	IMPLEMENTATION
146	IMPLEMENTATION
147	IMPLEMENTATION
148	IMPLEMENTATION
149	IMPLEMENTATION
150	IMPLEMENTATION
151	IMPLEMENTATION
152	IMPLEMENTATION
153	IMPLEMENTATION
154	TEST
155	TEST
156	TEST
157	TEST
158	DEFECT
159	TEST
