index	prediction
0	DEFECT
1	IMPLEMENTATION
2	DEFECT
3	DESIGN
4	DESIGN
5	DEFECT
6	DESIGN
7	IMPLEMENTATION
8	IMPLEMENTATION
9	DESIGN
10	DESIGN
11	DEFECT
12	DESIGN
13	DESIGN
14	DESIGN
15	DESIGN
16	IMPLEMENTATION
17	DESIGN
18	DESIGN
19	DESIGN
20	DESIGN
21	DESIGN
22	DESIGN
23	DESIGN
24	DESIGN
25	DESIGN
26	DEFECT
27	DESIGN
28	IMPLEMENTATION
29	DESIGN
30	DEFECT
31	DESIGN
32	DESIGN
33	DESIGN
34	IMPLEMENTATION
35	IMPLEMENTATION
36	DESIGN
37	DEFECT
38	DESIGN
39	DESIGN
40	DESIGN
41	DESIGN
42	DEFECT
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	IMPLEMENTATION
48	DESIGN
49	IMPLEMENTATION
50	IMPLEMENTATION
51	DESIGN
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	IMPLEMENTATION
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DEFECT
69	DEFECT
70	DESIGN
71	DESIGN
72	DESIGN
73	DEFECT
74	DESIGN
75	DEFECT
76	IMPLEMENTATION
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DEFECT
90	DESIGN
91	DESIGN
92	IMPLEMENTATION
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DEFECT
100	DESIGN
101	DEFECT
102	DESIGN
103	DESIGN
104	DEFECT
105	DESIGN
106	DEFECT
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DOCUMENTATION
113	DOCUMENTATION
114	DOCUMENTATION
115	DOCUMENTATION
116	DOCUMENTATION
117	DOCUMENTATION
118	DOCUMENTATION
119	DOCUMENTATION
120	DOCUMENTATION
121	DOCUMENTATION
122	DOCUMENTATION
123	DOCUMENTATION
124	DOCUMENTATION
125	DOCUMENTATION
126	DESIGN
127	DESIGN
128	DEFECT
129	DESIGN
130	IMPLEMENTATION
131	DESIGN
132	IMPLEMENTATION
133	IMPLEMENTATION
134	DESIGN
135	IMPLEMENTATION
136	IMPLEMENTATION
137	DESIGN
138	IMPLEMENTATION
139	DESIGN
140	DESIGN
141	DESIGN
142	IMPLEMENTATION
143	IMPLEMENTATION
144	DESIGN
145	IMPLEMENTATION
146	DESIGN
147	IMPLEMENTATION
148	DESIGN
149	IMPLEMENTATION
150	IMPLEMENTATION
151	DESIGN
152	DESIGN
153	DESIGN
154	TEST
155	TEST
156	TEST
157	TEST
158	DEFECT
159	TEST
