index	prediction
0	DEFECT
1	IMPLEMENTATION
2	DEFECT
3	DEFECT
4	DEFECT
5	IMPLEMENTATION
6	DEFECT
7	DEFECT
8	IMPLEMENTATION
9	DESIGN
10	IMPLEMENTATION
11	DESIGN
12	DESIGN
13	DESIGN
14	IMPLEMENTATION
15	DESIGN
16	DEFECT
17	DESIGN
18	IMPLEMENTATION
19	DESIGN
20	IMPLEMENTATION
21	DESIGN
22	DESIGN
23	DESIGN
24	IMPLEMENTATION
25	DEFECT
26	DESIGN
27	DESIGN
28	IMPLEMENTATION
29	DESIGN
30	DESIGN
31	DESIGN
32	IMPLEMENTATION
33	DESIGN
34	DESIGN
35	DESIGN
36	IMPLEMENTATION
37	DEFECT
38	IMPLEMENTATION
39	DEFECT
40	DESIGN
41	DESIGN
42	DESIGN
43	DESIGN
44	DESIGN
45	IMPLEMENTATION
46	IMPLEMENTATION
47	DEFECT
48	IMPLEMENTATION
49	DESIGN
50	DESIGN
51	DESIGN
52	DESIGN
53	DEFECT
54	DESIGN
55	IMPLEMENTATION
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	IMPLEMENTATION
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	DEFECT
76	DESIGN
77	IMPLEMENTATION
78	DESIGN
79	IMPLEMENTATION
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	IMPLEMENTATION
85	DESIGN
86	IMPLEMENTATION
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	IMPLEMENTATION
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	IMPLEMENTATION
97	DESIGN
98	DESIGN
99	IMPLEMENTATION
100	IMPLEMENTATION
101	IMPLEMENTATION
102	IMPLEMENTATION
103	DESIGN
104	IMPLEMENTATION
105	IMPLEMENTATION
106	IMPLEMENTATION
107	TEST
