index	prediction
0	DESIGN
1	DESIGN
2	DESIGN
3	DEFECT
4	DESIGN
5	DEFECT
6	DESIGN
7	DESIGN
8	DEFECT
9	DESIGN
10	DESIGN
11	DEFECT
12	DEFECT
13	DESIGN
14	DESIGN
15	DEFECT
16	DEFECT
17	DESIGN
18	DESIGN
19	DEFECT
20	DESIGN
21	DESIGN
22	DEFECT
23	DESIGN
24	DEFECT
25	DESIGN
26	DESIGN
27	DESIGN
28	DEFECT
29	DEFECT
30	DESIGN
31	DESIGN
32	DESIGN
33	DEFECT
34	DESIGN
35	DESIGN
36	IMPLEMENTATION
37	DESIGN
38	DESIGN
39	DESIGN
40	DESIGN
41	DESIGN
42	DESIGN
43	DEFECT
44	DESIGN
45	DESIGN
46	DEFECT
47	DEFECT
48	DESIGN
49	DESIGN
50	DESIGN
51	DESIGN
52	DEFECT
53	DESIGN
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DEFECT
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	TEST
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	IMPLEMENTATION
70	DOCUMENTATION
71	DESIGN
72	DESIGN
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DEFECT
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DEFECT
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DEFECT
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DEFECT
136	DESIGN
137	DESIGN
138	DESIGN
139	DEFECT
140	DEFECT
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DEFECT
154	DESIGN
155	DEFECT
156	DESIGN
157	DESIGN
158	IMPLEMENTATION
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	DEFECT
176	DESIGN
177	DEFECT
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	IMPLEMENTATION
186	DESIGN
187	DEFECT
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	IMPLEMENTATION
209	DESIGN
210	DESIGN
211	DESIGN
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DESIGN
238	DESIGN
239	IMPLEMENTATION
240	DESIGN
241	DESIGN
242	DESIGN
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DESIGN
252	DESIGN
253	DESIGN
254	DEFECT
255	DEFECT
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	DESIGN
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DESIGN
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	DESIGN
280	DESIGN
281	DESIGN
282	DESIGN
283	DESIGN
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	DESIGN
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	DESIGN
301	DESIGN
302	DESIGN
303	DESIGN
304	DESIGN
305	DESIGN
306	DESIGN
307	IMPLEMENTATION
308	IMPLEMENTATION
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	DESIGN
317	DESIGN
318	DESIGN
319	DESIGN
320	DESIGN
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DESIGN
326	DESIGN
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DESIGN
332	DESIGN
333	DESIGN
334	DESIGN
335	DESIGN
336	DESIGN
337	DESIGN
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DEFECT
343	DESIGN
344	DESIGN
345	DESIGN
346	DESIGN
347	DESIGN
348	DESIGN
349	DESIGN
350	DESIGN
351	DESIGN
352	DESIGN
353	DESIGN
354	IMPLEMENTATION
355	DESIGN
356	DEFECT
357	DESIGN
358	DESIGN
359	DESIGN
