index	prediction
0	DESIGN
1	DEFECT
2	DESIGN
3	DEFECT
4	DESIGN
5	DEFECT
6	DEFECT
7	DESIGN
8	DESIGN
9	DESIGN
10	DESIGN
11	DESIGN
12	DEFECT
13	DEFECT
14	DEFECT
15	DESIGN
16	DEFECT
17	DEFECT
18	DESIGN
19	DEFECT
20	DESIGN
21	DESIGN
22	DEFECT
23	DESIGN
24	DEFECT
25	DEFECT
26	DESIGN
27	DESIGN
28	DEFECT
29	DEFECT
30	DESIGN
31	DESIGN
32	DEFECT
33	DEFECT
34	DESIGN
35	DESIGN
36	DEFECT
37	DEFECT
38	DEFECT
39	DEFECT
40	DESIGN
41	DEFECT
42	DEFECT
43	DEFECT
44	DESIGN
45	DESIGN
46	DESIGN
47	DEFECT
48	DESIGN
49	DESIGN
50	DESIGN
51	DEFECT
52	DEFECT
53	DESIGN
54	DEFECT
55	DESIGN
56	DEFECT
57	DEFECT
58	DEFECT
59	DESIGN
60	DEFECT
61	DESIGN
62	DESIGN
63	DESIGN
64	DEFECT
65	DESIGN
66	DEFECT
67	DEFECT
68	DESIGN
69	DEFECT
70	DOCUMENTATION
71	DESIGN
72	DESIGN
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DEFECT
81	DESIGN
82	DESIGN
83	DEFECT
84	DESIGN
85	DEFECT
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DEFECT
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DEFECT
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DEFECT
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DEFECT
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DEFECT
138	DESIGN
139	DEFECT
140	DEFECT
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	DEFECT
156	DEFECT
157	DEFECT
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DEFECT
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	IMPLEMENTATION
175	DEFECT
176	DEFECT
177	DEFECT
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DESIGN
186	DESIGN
187	DEFECT
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	DESIGN
211	DEFECT
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	IMPLEMENTATION
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DEFECT
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DESIGN
238	DESIGN
239	IMPLEMENTATION
240	DESIGN
241	DEFECT
242	DESIGN
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DEFECT
252	DESIGN
253	DESIGN
254	DEFECT
255	DEFECT
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	DESIGN
260	DEFECT
261	DESIGN
262	DESIGN
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DESIGN
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	DESIGN
280	DESIGN
281	DESIGN
282	DOCUMENTATION
283	DESIGN
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	DESIGN
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	DESIGN
301	DESIGN
302	DESIGN
303	DESIGN
304	DEFECT
305	DEFECT
306	DEFECT
307	DEFECT
308	IMPLEMENTATION
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	DESIGN
317	DEFECT
318	DESIGN
319	DESIGN
320	DESIGN
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DEFECT
326	DESIGN
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DESIGN
332	DESIGN
333	DESIGN
334	DESIGN
335	DESIGN
336	DEFECT
337	DESIGN
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DEFECT
343	DESIGN
344	DESIGN
345	DESIGN
346	DESIGN
347	DEFECT
348	DESIGN
349	DESIGN
350	DESIGN
351	DEFECT
352	DESIGN
353	DEFECT
354	IMPLEMENTATION
355	DESIGN
356	DEFECT
357	DEFECT
358	DESIGN
359	DESIGN
360	DESIGN
361	DESIGN
362	DOCUMENTATION
363	DESIGN
364	DESIGN
365	IMPLEMENTATION
366	DESIGN
367	DESIGN
368	DEFECT
369	DESIGN
370	DEFECT
371	IMPLEMENTATION
372	DESIGN
373	DESIGN
374	DESIGN
375	DEFECT
376	DESIGN
377	DEFECT
378	IMPLEMENTATION
379	IMPLEMENTATION
380	DESIGN
381	DESIGN
382	DESIGN
383	DESIGN
384	DESIGN
385	DESIGN
386	IMPLEMENTATION
387	DESIGN
388	IMPLEMENTATION
389	DEFECT
390	DESIGN
391	DESIGN
392	DESIGN
393	IMPLEMENTATION
394	DESIGN
395	DESIGN
396	DESIGN
397	DEFECT
398	DESIGN
399	IMPLEMENTATION
400	IMPLEMENTATION
401	IMPLEMENTATION
402	IMPLEMENTATION
403	DESIGN
404	DESIGN
405	DESIGN
406	DESIGN
407	IMPLEMENTATION
408	DESIGN
409	DEFECT
410	IMPLEMENTATION
411	DESIGN
412	DESIGN
413	DEFECT
414	DEFECT
415	DESIGN
416	IMPLEMENTATION
417	DESIGN
418	DESIGN
419	IMPLEMENTATION
420	DESIGN
421	DESIGN
422	DESIGN
423	DESIGN
424	IMPLEMENTATION
425	DEFECT
426	DEFECT
427	IMPLEMENTATION
428	IMPLEMENTATION
429	DESIGN
430	DESIGN
431	DESIGN
432	DESIGN
433	DESIGN
434	DESIGN
435	DESIGN
436	IMPLEMENTATION
437	IMPLEMENTATION
438	DESIGN
439	DESIGN
440	IMPLEMENTATION
441	IMPLEMENTATION
442	DESIGN
443	DESIGN
444	DESIGN
445	DEFECT
446	IMPLEMENTATION
447	DESIGN
448	IMPLEMENTATION
449	IMPLEMENTATION
450	DESIGN
451	IMPLEMENTATION
452	DESIGN
453	IMPLEMENTATION
454	DESIGN
455	DESIGN
456	TEST
457	DESIGN
458	IMPLEMENTATION
459	DESIGN
