index	prediction
0	DEFECT
1	DEFECT
2	DEFECT
3	DEFECT
4	DEFECT
5	DEFECT
6	DESIGN
7	DEFECT
8	DEFECT
9	DEFECT
10	DESIGN
11	DEFECT
12	DESIGN
13	DEFECT
14	DEFECT
15	DEFECT
16	DEFECT
17	DEFECT
18	DEFECT
19	DEFECT
20	DEFECT
21	IMPLEMENTATION
22	IMPLEMENTATION
23	DESIGN
24	DESIGN
25	IMPLEMENTATION
26	DESIGN
27	DESIGN
28	IMPLEMENTATION
29	DESIGN
30	DESIGN
31	DESIGN
32	DESIGN
33	DESIGN
34	DESIGN
35	DESIGN
36	DESIGN
37	DESIGN
38	DESIGN
39	DESIGN
40	IMPLEMENTATION
41	DESIGN
42	DESIGN
43	DESIGN
44	DESIGN
45	IMPLEMENTATION
46	DEFECT
47	DESIGN
48	DESIGN
49	DESIGN
50	DESIGN
51	DESIGN
52	DESIGN
53	DESIGN
54	DEFECT
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DEFECT
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DEFECT
66	IMPLEMENTATION
67	DESIGN
68	DESIGN
69	IMPLEMENTATION
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DOCUMENTATION
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	IMPLEMENTATION
82	DEFECT
83	DESIGN
84	DESIGN
85	DESIGN
86	DEFECT
87	DESIGN
88	IMPLEMENTATION
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	IMPLEMENTATION
94	DESIGN
95	IMPLEMENTATION
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	IMPLEMENTATION
105	IMPLEMENTATION
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	IMPLEMENTATION
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DEFECT
137	DESIGN
138	DESIGN
139	DESIGN
140	DESIGN
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	IMPLEMENTATION
147	DEFECT
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DESIGN
157	DEFECT
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	IMPLEMENTATION
171	DESIGN
172	DEFECT
173	IMPLEMENTATION
174	DEFECT
175	DESIGN
176	DESIGN
177	DOCUMENTATION
178	DESIGN
179	IMPLEMENTATION
180	DESIGN
181	DESIGN
182	DESIGN
183	IMPLEMENTATION
184	IMPLEMENTATION
185	IMPLEMENTATION
186	IMPLEMENTATION
187	DEFECT
188	IMPLEMENTATION
189	DESIGN
190	IMPLEMENTATION
191	IMPLEMENTATION
192	DESIGN
193	IMPLEMENTATION
194	IMPLEMENTATION
195	DESIGN
196	IMPLEMENTATION
197	DESIGN
198	DESIGN
199	DEFECT
200	DESIGN
201	DEFECT
202	DESIGN
203	DESIGN
204	DESIGN
205	IMPLEMENTATION
206	IMPLEMENTATION
207	IMPLEMENTATION
208	DESIGN
209	DESIGN
210	IMPLEMENTATION
211	DESIGN
212	DESIGN
213	IMPLEMENTATION
214	IMPLEMENTATION
215	DESIGN
216	DESIGN
217	DESIGN
218	IMPLEMENTATION
219	DESIGN
220	IMPLEMENTATION
221	TEST
