index	prediction
0	NONSATD
1	NONSATD
2	NONSATD
3	NONSATD
4	NONSATD
5	NONSATD
6	NONSATD
7	NONSATD
8	NONSATD
9	NONSATD
10	SATD
11	NONSATD
12	NONSATD
13	NONSATD
14	NONSATD
15	NONSATD
16	NONSATD
17	NONSATD
18	NONSATD
19	NONSATD
20	NONSATD
21	NONSATD
22	NONSATD
23	NONSATD
24	NONSATD
25	NONSATD
26	NONSATD
27	NONSATD
28	NONSATD
29	NONSATD
30	NONSATD
31	NONSATD
32	NONSATD
33	NONSATD
34	NONSATD
35	NONSATD
36	NONSATD
37	NONSATD
38	NONSATD
39	NONSATD
40	NONSATD
41	NONSATD
42	NONSATD
43	NONSATD
44	NONSATD
45	NONSATD
46	NONSATD
47	NONSATD
48	NONSATD
49	NONSATD
50	NONSATD
51	NONSATD
52	NONSATD
53	NONSATD
54	NONSATD
55	NONSATD
56	NONSATD
57	NONSATD
58	NONSATD
59	NONSATD
60	NONSATD
61	NONSATD
62	NONSATD
63	NONSATD
64	NONSATD
65	NONSATD
66	NONSATD
67	SATD
68	SATD
69	SATD
70	SATD
71	SATD
72	SATD
73	SATD
74	SATD
75	NONSATD
76	NONSATD
77	NONSATD
78	NONSATD
79	NONSATD
80	NONSATD
81	NONSATD
82	NONSATD
83	NONSATD
84	NONSATD
85	NONSATD
86	NONSATD
87	NONSATD
88	NONSATD
89	NONSATD
90	NONSATD
91	NONSATD
92	NONSATD
93	NONSATD
94	NONSATD
95	NONSATD
96	NONSATD
97	NONSATD
98	NONSATD
99	NONSATD
100	NONSATD
101	NONSATD
102	NONSATD
103	NONSATD
104	NONSATD
105	NONSATD
106	NONSATD
107	NONSATD
108	NONSATD
109	NONSATD
110	NONSATD
111	NONSATD
112	NONSATD
113	NONSATD
114	NONSATD
115	NONSATD
116	NONSATD
117	NONSATD
118	NONSATD
119	NONSATD
120	NONSATD
121	NONSATD
122	NONSATD
123	NONSATD
124	NONSATD
125	NONSATD
126	NONSATD
127	NONSATD
128	NONSATD
129	NONSATD
130	NONSATD
131	NONSATD
132	NONSATD
133	NONSATD
134	NONSATD
135	NONSATD
136	NONSATD
137	NONSATD
138	NONSATD
139	NONSATD
140	NONSATD
141	NONSATD
142	NONSATD
143	NONSATD
144	NONSATD
145	NONSATD
146	NONSATD
147	NONSATD
148	NONSATD
149	NONSATD
150	NONSATD
151	NONSATD
152	NONSATD
153	NONSATD
154	NONSATD
155	NONSATD
156	NONSATD
157	NONSATD
158	NONSATD
159	NONSATD
160	NONSATD
161	NONSATD
162	NONSATD
163	NONSATD
164	NONSATD
165	NONSATD
166	NONSATD
167	NONSATD
168	NONSATD
169	NONSATD
170	NONSATD
171	NONSATD
172	NONSATD
173	NONSATD
174	NONSATD
175	NONSATD
176	NONSATD
177	NONSATD
178	NONSATD
179	NONSATD
180	NONSATD
181	NONSATD
182	NONSATD
183	NONSATD
184	NONSATD
185	NONSATD
186	NONSATD
187	NONSATD
188	NONSATD
189	NONSATD
190	NONSATD
191	NONSATD
192	NONSATD
193	NONSATD
194	NONSATD
195	NONSATD
196	NONSATD
197	NONSATD
198	NONSATD
199	NONSATD
200	NONSATD
201	NONSATD
202	NONSATD
203	NONSATD
204	NONSATD
205	NONSATD
206	NONSATD
207	NONSATD
208	NONSATD
209	NONSATD
210	NONSATD
211	NONSATD
212	NONSATD
213	NONSATD
214	NONSATD
215	NONSATD
216	NONSATD
217	NONSATD
218	NONSATD
219	NONSATD
220	NONSATD
221	NONSATD
222	NONSATD
223	NONSATD
224	NONSATD
225	NONSATD
226	NONSATD
227	NONSATD
228	NONSATD
229	NONSATD
