index	prediction
0	DEFECT
1	IMPLEMENTATION
2	DEFECT
3	IMPLEMENTATION
4	DEFECT
5	IMPLEMENTATION
6	DEFECT
7	DESIGN
8	IMPLEMENTATION
9	DESIGN
10	IMPLEMENTATION
11	DESIGN
12	DEFECT
13	DESIGN
14	IMPLEMENTATION
15	DEFECT
16	IMPLEMENTATION
17	DEFECT
18	IMPLEMENTATION
19	IMPLEMENTATION
20	IMPLEMENTATION
21	IMPLEMENTATION
22	DESIGN
23	DESIGN
24	IMPLEMENTATION
25	DESIGN
26	DESIGN
27	DESIGN
28	IMPLEMENTATION
29	DESIGN
30	IMPLEMENTATION
31	DESIGN
32	TEST
33	DESIGN
34	TEST
35	DESIGN
36	DESIGN
37	DEFECT
38	DESIGN
39	DEFECT
40	DESIGN
41	IMPLEMENTATION
42	DESIGN
43	DESIGN
44	DESIGN
45	DESIGN
46	IMPLEMENTATION
47	DEFECT
48	IMPLEMENTATION
49	DESIGN
50	DESIGN
51	IMPLEMENTATION
52	DESIGN
53	DEFECT
54	DESIGN
55	IMPLEMENTATION
56	DEFECT
57	DESIGN
58	DESIGN
59	DESIGN
60	IMPLEMENTATION
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	IMPLEMENTATION
70	DESIGN
71	IMPLEMENTATION
72	DESIGN
73	DESIGN
74	IMPLEMENTATION
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	IMPLEMENTATION
80	IMPLEMENTATION
81	DESIGN
82	DESIGN
83	DESIGN
84	IMPLEMENTATION
85	DESIGN
86	IMPLEMENTATION
87	IMPLEMENTATION
88	DESIGN
89	DESIGN
90	DESIGN
91	IMPLEMENTATION
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	IMPLEMENTATION
97	DESIGN
98	DESIGN
99	IMPLEMENTATION
100	IMPLEMENTATION
101	IMPLEMENTATION
102	IMPLEMENTATION
103	DESIGN
104	IMPLEMENTATION
105	IMPLEMENTATION
106	IMPLEMENTATION
107	TEST
