index	prediction
0	DEFECT
1	DESIGN
2	DEFECT
3	DEFECT
4	DEFECT
5	NONSATD
6	DEFECT
7	DESIGN
8	NONSATD
9	NONSATD
10	DESIGN
11	NONSATD
12	NONSATD
13	NONSATD
14	NONSATD
15	NONSATD
16	NONSATD
17	NONSATD
18	NONSATD
19	NONSATD
20	NONSATD
21	NONSATD
22	NONSATD
23	NONSATD
24	NONSATD
25	NONSATD
26	IMPLEMENTATION
27	NONSATD
28	NONSATD
29	NONSATD
30	NONSATD
31	DEFECT
32	DESIGN
33	DEFECT
34	DESIGN
35	IMPLEMENTATION
36	NONSATD
37	NONSATD
38	NONSATD
39	NONSATD
40	NONSATD
41	NONSATD
42	NONSATD
43	NONSATD
44	NONSATD
45	NONSATD
46	NONSATD
47	NONSATD
48	NONSATD
49	NONSATD
50	NONSATD
51	NONSATD
52	NONSATD
53	NONSATD
54	NONSATD
55	NONSATD
56	NONSATD
57	NONSATD
58	NONSATD
59	NONSATD
60	NONSATD
61	NONSATD
62	NONSATD
63	NONSATD
64	NONSATD
65	NONSATD
66	NONSATD
67	NONSATD
68	NONSATD
69	NONSATD
70	NONSATD
71	IMPLEMENTATION
72	IMPLEMENTATION
73	NONSATD
74	NONSATD
75	NONSATD
76	NONSATD
77	NONSATD
78	NONSATD
79	NONSATD
80	NONSATD
81	NONSATD
82	NONSATD
83	NONSATD
84	NONSATD
85	IMPLEMENTATION
86	NONSATD
87	NONSATD
88	NONSATD
89	NONSATD
90	NONSATD
91	NONSATD
92	NONSATD
93	NONSATD
94	IMPLEMENTATION
95	NONSATD
96	NONSATD
97	NONSATD
98	DESIGN
99	NONSATD
100	NONSATD
101	NONSATD
102	NONSATD
103	NONSATD
104	DESIGN
105	NONSATD
106	NONSATD
107	DESIGN
108	NONSATD
109	DESIGN
110	DESIGN
111	DESIGN
112	DEFECT
113	DESIGN
114	TEST
115	IMPLEMENTATION
116	NONSATD
117	NONSATD
118	NONSATD
119	NONSATD
120	NONSATD
121	NONSATD
122	NONSATD
123	DESIGN
124	NONSATD
125	NONSATD
126	NONSATD
127	NONSATD
128	NONSATD
