index	prediction
0	DEFECT
1	DEFECT
2	DESIGN
3	DEFECT
4	DESIGN
5	DESIGN
6	DEFECT
7	DESIGN
8	DESIGN
9	DESIGN
10	DESIGN
11	DESIGN
12	DESIGN
13	DEFECT
14	DEFECT
15	DEFECT
16	DEFECT
17	DEFECT
18	DEFECT
19	DESIGN
20	DEFECT
21	DESIGN
22	DEFECT
23	DESIGN
24	DEFECT
25	DEFECT
26	DESIGN
27	DESIGN
28	DESIGN
29	DEFECT
30	DESIGN
31	DESIGN
32	DEFECT
33	DEFECT
34	DESIGN
35	DEFECT
36	DESIGN
37	DEFECT
38	DEFECT
39	DEFECT
40	DESIGN
41	DEFECT
42	DESIGN
43	DESIGN
44	DEFECT
45	DESIGN
46	DESIGN
47	DEFECT
48	DEFECT
49	DESIGN
50	DEFECT
51	DEFECT
52	DESIGN
53	DEFECT
54	DESIGN
55	DESIGN
56	DEFECT
57	DEFECT
58	DEFECT
59	DEFECT
60	DEFECT
61	DEFECT
62	DESIGN
63	DESIGN
64	DEFECT
65	DESIGN
66	DESIGN
67	DEFECT
68	DESIGN
69	DEFECT
70	TEST
71	DESIGN
72	DESIGN
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DEFECT
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DEFECT
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	DEFECT
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DEFECT
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DOCUMENTATION
139	DESIGN
140	DESIGN
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	DESIGN
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DESIGN
157	DESIGN
158	DESIGN
159	DESIGN
160	DESIGN
161	DEFECT
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	IMPLEMENTATION
173	DESIGN
174	IMPLEMENTATION
175	DESIGN
176	DESIGN
177	DEFECT
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DEFECT
184	DESIGN
185	DESIGN
186	DESIGN
187	DEFECT
188	IMPLEMENTATION
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	DESIGN
211	DEFECT
212	DESIGN
213	IMPLEMENTATION
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DEFECT
238	DEFECT
239	IMPLEMENTATION
240	DEFECT
241	DESIGN
242	DESIGN
243	DESIGN
244	DESIGN
245	IMPLEMENTATION
246	DESIGN
247	DESIGN
248	DESIGN
249	IMPLEMENTATION
250	DESIGN
251	DEFECT
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	DESIGN
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	IMPLEMENTATION
272	DESIGN
273	DESIGN
274	DESIGN
275	DESIGN
276	DEFECT
277	DESIGN
278	DEFECT
279	DESIGN
280	DESIGN
281	DESIGN
282	IMPLEMENTATION
283	DESIGN
284	IMPLEMENTATION
285	DEFECT
286	DESIGN
287	DEFECT
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	IMPLEMENTATION
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	DESIGN
301	DESIGN
302	DESIGN
303	DESIGN
304	DEFECT
305	DESIGN
306	DESIGN
307	DESIGN
308	IMPLEMENTATION
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DEFECT
314	DESIGN
315	DESIGN
316	DESIGN
317	DEFECT
318	DESIGN
319	DESIGN
320	DEFECT
321	DESIGN
322	DESIGN
323	DESIGN
324	DEFECT
325	DESIGN
326	IMPLEMENTATION
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DEFECT
332	DESIGN
333	DESIGN
334	DESIGN
335	DESIGN
336	DEFECT
337	DESIGN
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DESIGN
343	DESIGN
344	DESIGN
345	DESIGN
346	DESIGN
347	DEFECT
348	DESIGN
349	DESIGN
350	DESIGN
351	DESIGN
352	DESIGN
353	DESIGN
354	DESIGN
355	DESIGN
356	DESIGN
357	DEFECT
358	DESIGN
359	DESIGN
360	DESIGN
361	DOCUMENTATION
362	DOCUMENTATION
363	IMPLEMENTATION
364	DESIGN
365	IMPLEMENTATION
366	DESIGN
367	DESIGN
368	DEFECT
369	DEFECT
370	IMPLEMENTATION
371	IMPLEMENTATION
372	DESIGN
373	DESIGN
374	DESIGN
375	DESIGN
376	DEFECT
377	DEFECT
378	IMPLEMENTATION
379	IMPLEMENTATION
380	IMPLEMENTATION
381	DESIGN
382	DESIGN
383	DESIGN
384	IMPLEMENTATION
385	DESIGN
386	IMPLEMENTATION
387	IMPLEMENTATION
388	IMPLEMENTATION
389	DESIGN
390	DESIGN
391	DESIGN
392	IMPLEMENTATION
393	IMPLEMENTATION
394	DESIGN
395	DESIGN
396	DESIGN
397	DESIGN
398	DESIGN
399	IMPLEMENTATION
400	IMPLEMENTATION
401	IMPLEMENTATION
402	IMPLEMENTATION
403	DESIGN
404	DESIGN
405	DESIGN
406	DESIGN
407	IMPLEMENTATION
408	IMPLEMENTATION
409	DESIGN
410	IMPLEMENTATION
411	DESIGN
412	IMPLEMENTATION
413	DEFECT
414	DESIGN
415	DESIGN
416	DESIGN
417	DEFECT
418	DESIGN
419	IMPLEMENTATION
420	DESIGN
421	DESIGN
422	DESIGN
423	DESIGN
424	IMPLEMENTATION
425	DEFECT
426	DEFECT
427	IMPLEMENTATION
428	DESIGN
429	DESIGN
430	IMPLEMENTATION
431	DESIGN
432	DEFECT
433	IMPLEMENTATION
434	DESIGN
435	DEFECT
436	IMPLEMENTATION
437	DESIGN
438	DESIGN
439	DESIGN
440	IMPLEMENTATION
441	IMPLEMENTATION
442	DESIGN
443	DESIGN
444	DESIGN
445	DEFECT
446	DESIGN
447	DESIGN
448	DESIGN
449	IMPLEMENTATION
450	DESIGN
451	DESIGN
452	DESIGN
453	IMPLEMENTATION
454	TEST
455	TEST
456	IMPLEMENTATION
457	TEST
458	IMPLEMENTATION
459	DESIGN
