index	prediction
0	DEFECT
1	DEFECT
2	DEFECT
3	DESIGN
4	IMPLEMENTATION
5	DESIGN
6	DEFECT
7	DEFECT
8	DESIGN
9	DEFECT
10	DESIGN
11	DESIGN
12	DEFECT
13	DESIGN
14	DEFECT
15	DEFECT
16	DEFECT
17	DESIGN
18	IMPLEMENTATION
19	DEFECT
20	DESIGN
21	DESIGN
22	DESIGN
23	DESIGN
24	DEFECT
25	DEFECT
26	DEFECT
27	DESIGN
28	DESIGN
29	DESIGN
30	DEFECT
31	DEFECT
32	DESIGN
33	DEFECT
34	DEFECT
35	DESIGN
36	DESIGN
37	DESIGN
38	DEFECT
39	DESIGN
40	DESIGN
41	DESIGN
42	DEFECT
43	DESIGN
44	DEFECT
45	DESIGN
46	DEFECT
47	DESIGN
48	DEFECT
49	DEFECT
50	DESIGN
51	DESIGN
52	IMPLEMENTATION
53	IMPLEMENTATION
54	IMPLEMENTATION
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DOCUMENTATION
66	DESIGN
67	DESIGN
68	DESIGN
69	DESIGN
70	IMPLEMENTATION
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	IMPLEMENTATION
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	IMPLEMENTATION
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DESIGN
140	DESIGN
141	DESIGN
142	IMPLEMENTATION
143	DESIGN
144	DESIGN
145	DESIGN
146	DESIGN
147	DEFECT
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	IMPLEMENTATION
153	DESIGN
154	IMPLEMENTATION
155	DESIGN
156	DESIGN
157	DESIGN
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DEFECT
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	DESIGN
176	DESIGN
177	DESIGN
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DESIGN
186	DESIGN
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	IMPLEMENTATION
211	DESIGN
212	DEFECT
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DEFECT
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	IMPLEMENTATION
238	DESIGN
239	DESIGN
240	DESIGN
241	DEFECT
242	DESIGN
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DESIGN
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	DESIGN
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	DEFECT
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	IMPLEMENTATION
273	DESIGN
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	IMPLEMENTATION
280	DESIGN
281	DESIGN
282	IMPLEMENTATION
283	DESIGN
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	IMPLEMENTATION
289	DESIGN
290	DEFECT
291	DESIGN
292	DESIGN
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	IMPLEMENTATION
301	IMPLEMENTATION
302	DESIGN
303	DESIGN
304	DESIGN
305	IMPLEMENTATION
306	DESIGN
307	DESIGN
308	DESIGN
309	IMPLEMENTATION
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	IMPLEMENTATION
317	DESIGN
318	DESIGN
319	DESIGN
320	DESIGN
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DESIGN
326	DEFECT
327	DESIGN
328	DESIGN
329	DESIGN
330	IMPLEMENTATION
331	DESIGN
332	DESIGN
333	DESIGN
334	DESIGN
335	DESIGN
336	DESIGN
337	DESIGN
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DESIGN
343	IMPLEMENTATION
344	DESIGN
345	IMPLEMENTATION
346	DESIGN
347	DESIGN
348	DESIGN
349	IMPLEMENTATION
350	IMPLEMENTATION
351	DESIGN
352	DESIGN
353	IMPLEMENTATION
354	DESIGN
355	DESIGN
356	DESIGN
357	DESIGN
358	DESIGN
359	DESIGN
360	IMPLEMENTATION
361	DESIGN
362	DESIGN
363	DESIGN
364	DESIGN
365	DESIGN
366	DESIGN
367	DESIGN
368	DESIGN
369	DESIGN
370	IMPLEMENTATION
371	IMPLEMENTATION
372	DESIGN
373	IMPLEMENTATION
374	IMPLEMENTATION
375	IMPLEMENTATION
376	DESIGN
377	DESIGN
378	DESIGN
379	DESIGN
380	IMPLEMENTATION
381	DEFECT
382	DESIGN
383	DESIGN
384	DESIGN
385	DESIGN
386	IMPLEMENTATION
387	IMPLEMENTATION
388	DESIGN
389	IMPLEMENTATION
390	DESIGN
391	IMPLEMENTATION
392	DESIGN
393	DESIGN
394	IMPLEMENTATION
395	DESIGN
396	DESIGN
397	DESIGN
398	IMPLEMENTATION
399	DEFECT
400	IMPLEMENTATION
401	DESIGN
402	DESIGN
403	DESIGN
404	IMPLEMENTATION
405	DESIGN
406	DESIGN
407	DESIGN
408	DESIGN
409	DESIGN
410	DESIGN
411	IMPLEMENTATION
412	DEFECT
413	IMPLEMENTATION
414	DESIGN
415	IMPLEMENTATION
416	IMPLEMENTATION
417	IMPLEMENTATION
418	DESIGN
419	DESIGN
420	IMPLEMENTATION
421	IMPLEMENTATION
422	DEFECT
423	DESIGN
