index	prediction
0	DEFECT
1	DEFECT
2	DEFECT
3	DESIGN
4	DESIGN
5	DESIGN
6	DEFECT
7	DEFECT
8	IMPLEMENTATION
9	DEFECT
10	IMPLEMENTATION
11	DEFECT
12	DEFECT
13	DESIGN
14	DESIGN
15	IMPLEMENTATION
16	DEFECT
17	DEFECT
18	IMPLEMENTATION
19	DEFECT
20	IMPLEMENTATION
21	IMPLEMENTATION
22	DESIGN
23	DESIGN
24	DEFECT
25	DEFECT
26	DEFECT
27	DESIGN
28	DESIGN
29	IMPLEMENTATION
30	DEFECT
31	DESIGN
32	DESIGN
33	DEFECT
34	DEFECT
35	DESIGN
36	DESIGN
37	DESIGN
38	DESIGN
39	DESIGN
40	DESIGN
41	DESIGN
42	DEFECT
43	DESIGN
44	DEFECT
45	DESIGN
46	DESIGN
47	DESIGN
48	DEFECT
49	DEFECT
50	DESIGN
51	DESIGN
52	IMPLEMENTATION
53	IMPLEMENTATION
54	IMPLEMENTATION
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	DESIGN
70	IMPLEMENTATION
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	IMPLEMENTATION
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	IMPLEMENTATION
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DEFECT
93	DEFECT
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	IMPLEMENTATION
102	DESIGN
103	DESIGN
104	DESIGN
105	DESIGN
106	DESIGN
107	IMPLEMENTATION
108	DEFECT
109	IMPLEMENTATION
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	DESIGN
118	IMPLEMENTATION
119	DESIGN
120	DESIGN
121	DESIGN
122	IMPLEMENTATION
123	IMPLEMENTATION
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	IMPLEMENTATION
130	DESIGN
131	DESIGN
132	IMPLEMENTATION
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DEFECT
138	DESIGN
139	DESIGN
140	DESIGN
141	DESIGN
142	DESIGN
143	IMPLEMENTATION
144	DESIGN
145	IMPLEMENTATION
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	IMPLEMENTATION
152	DESIGN
153	DESIGN
154	IMPLEMENTATION
155	DESIGN
156	IMPLEMENTATION
157	DESIGN
158	DESIGN
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DESIGN
168	DESIGN
169	DESIGN
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DEFECT
175	DESIGN
176	DESIGN
177	DESIGN
178	IMPLEMENTATION
179	DESIGN
180	IMPLEMENTATION
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DESIGN
186	IMPLEMENTATION
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	IMPLEMENTATION
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DESIGN
209	DESIGN
210	DESIGN
211	DESIGN
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	DESIGN
228	DESIGN
229	IMPLEMENTATION
230	DESIGN
231	DESIGN
232	DESIGN
233	DESIGN
234	DESIGN
235	IMPLEMENTATION
236	IMPLEMENTATION
237	DESIGN
238	DESIGN
239	DESIGN
240	DESIGN
241	DESIGN
242	DESIGN
243	DESIGN
244	IMPLEMENTATION
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	IMPLEMENTATION
250	DESIGN
251	DESIGN
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	DESIGN
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	IMPLEMENTATION
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	IMPLEMENTATION
272	IMPLEMENTATION
273	DEFECT
274	IMPLEMENTATION
275	DESIGN
276	DESIGN
277	IMPLEMENTATION
278	DESIGN
279	IMPLEMENTATION
280	DESIGN
281	DESIGN
282	IMPLEMENTATION
283	DESIGN
284	DESIGN
285	DESIGN
286	IMPLEMENTATION
287	DESIGN
288	DESIGN
289	IMPLEMENTATION
290	DESIGN
291	DESIGN
292	DESIGN
293	IMPLEMENTATION
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	DESIGN
300	IMPLEMENTATION
301	IMPLEMENTATION
302	DESIGN
303	DESIGN
304	DESIGN
305	DESIGN
306	DESIGN
307	DESIGN
308	DESIGN
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	IMPLEMENTATION
317	DESIGN
318	DESIGN
319	DESIGN
320	DESIGN
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DESIGN
326	DESIGN
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DESIGN
332	IMPLEMENTATION
333	DESIGN
334	DESIGN
335	DESIGN
336	DESIGN
337	DESIGN
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DESIGN
343	IMPLEMENTATION
344	DESIGN
345	DEFECT
346	DESIGN
347	DESIGN
348	DESIGN
349	IMPLEMENTATION
350	DESIGN
351	DESIGN
352	DESIGN
353	DESIGN
354	DESIGN
355	DESIGN
356	IMPLEMENTATION
357	DESIGN
358	DESIGN
359	DESIGN
360	IMPLEMENTATION
361	DESIGN
362	DESIGN
363	DESIGN
364	IMPLEMENTATION
365	IMPLEMENTATION
366	DESIGN
367	DESIGN
368	IMPLEMENTATION
369	IMPLEMENTATION
370	IMPLEMENTATION
371	IMPLEMENTATION
372	IMPLEMENTATION
373	IMPLEMENTATION
374	IMPLEMENTATION
375	IMPLEMENTATION
376	DESIGN
377	DESIGN
378	DESIGN
379	DESIGN
380	IMPLEMENTATION
381	IMPLEMENTATION
382	IMPLEMENTATION
383	IMPLEMENTATION
384	IMPLEMENTATION
385	IMPLEMENTATION
386	IMPLEMENTATION
387	DESIGN
388	DESIGN
389	IMPLEMENTATION
390	DESIGN
391	IMPLEMENTATION
392	DESIGN
393	DESIGN
394	IMPLEMENTATION
395	DESIGN
396	DESIGN
397	DESIGN
398	IMPLEMENTATION
399	DESIGN
400	IMPLEMENTATION
401	DESIGN
402	DESIGN
403	IMPLEMENTATION
404	IMPLEMENTATION
405	DESIGN
406	DESIGN
407	DESIGN
408	DEFECT
409	DEFECT
410	IMPLEMENTATION
411	IMPLEMENTATION
412	IMPLEMENTATION
413	IMPLEMENTATION
414	IMPLEMENTATION
415	DESIGN
416	IMPLEMENTATION
417	IMPLEMENTATION
418	DESIGN
419	IMPLEMENTATION
420	IMPLEMENTATION
421	IMPLEMENTATION
422	DESIGN
423	DESIGN
