index	prediction
0	DEFECT
1	DEFECT
2	DESIGN
3	DEFECT
4	DESIGN
5	DEFECT
6	DEFECT
7	DESIGN
8	IMPLEMENTATION
9	DESIGN
10	DESIGN
11	DESIGN
12	DESIGN
13	DEFECT
14	DESIGN
15	DESIGN
16	DEFECT
17	DEFECT
18	DEFECT
19	DESIGN
20	DEFECT
21	IMPLEMENTATION
22	DESIGN
23	DESIGN
24	DEFECT
25	DEFECT
26	DEFECT
27	DESIGN
28	DESIGN
29	DEFECT
30	DESIGN
31	DESIGN
32	DESIGN
33	DEFECT
34	DESIGN
35	DEFECT
36	DESIGN
37	DEFECT
38	DEFECT
39	DEFECT
40	DESIGN
41	DEFECT
42	DEFECT
43	DESIGN
44	DEFECT
45	DESIGN
46	DESIGN
47	DESIGN
48	DEFECT
49	IMPLEMENTATION
50	DESIGN
51	DESIGN
52	DEFECT
53	DEFECT
54	DEFECT
55	DESIGN
56	DEFECT
57	DEFECT
58	DEFECT
59	DEFECT
60	DEFECT
61	DESIGN
62	DEFECT
63	DEFECT
64	DEFECT
65	DESIGN
66	DEFECT
67	DEFECT
68	DESIGN
69	DEFECT
70	DESIGN
71	DESIGN
72	DEFECT
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	DESIGN
78	DEFECT
79	DESIGN
80	DEFECT
81	DESIGN
82	DESIGN
83	IMPLEMENTATION
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DEFECT
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	DEFECT
105	DEFECT
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	IMPLEMENTATION
115	DESIGN
116	DESIGN
117	DESIGN
118	DEFECT
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	IMPLEMENTATION
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DESIGN
140	DESIGN
141	DESIGN
142	DESIGN
143	DESIGN
144	DESIGN
145	DESIGN
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DESIGN
157	DEFECT
158	DEFECT
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	DEFECT
168	DESIGN
169	DEFECT
170	DESIGN
171	DESIGN
172	IMPLEMENTATION
173	DESIGN
174	IMPLEMENTATION
175	DEFECT
176	DESIGN
177	DEFECT
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DEFECT
184	DESIGN
185	DESIGN
186	DESIGN
187	DESIGN
188	IMPLEMENTATION
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DEFECT
205	DESIGN
206	DESIGN
207	DESIGN
208	DEFECT
209	DESIGN
210	DESIGN
211	DEFECT
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DEFECT
225	DEFECT
226	DEFECT
227	DESIGN
228	DESIGN
229	DESIGN
230	DESIGN
231	DEFECT
232	DESIGN
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DESIGN
238	DEFECT
239	IMPLEMENTATION
240	DEFECT
241	DEFECT
242	DEFECT
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DEFECT
249	IMPLEMENTATION
250	DESIGN
251	DEFECT
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	DESIGN
260	DESIGN
261	DESIGN
262	DESIGN
263	DESIGN
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DESIGN
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	DESIGN
280	DESIGN
281	DESIGN
282	DESIGN
283	DESIGN
284	IMPLEMENTATION
285	DEFECT
286	DESIGN
287	DEFECT
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	DESIGN
293	DESIGN
294	DESIGN
295	DESIGN
296	IMPLEMENTATION
297	DESIGN
298	DESIGN
299	DESIGN
300	DESIGN
301	DESIGN
302	DESIGN
303	DESIGN
304	DESIGN
305	DESIGN
306	DESIGN
307	DESIGN
308	DESIGN
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	DESIGN
317	DEFECT
318	DESIGN
319	DESIGN
320	DESIGN
321	DESIGN
322	DESIGN
323	IMPLEMENTATION
324	DEFECT
325	DEFECT
326	IMPLEMENTATION
327	DESIGN
328	DESIGN
329	DESIGN
330	DESIGN
331	DESIGN
332	DEFECT
333	DESIGN
334	DESIGN
335	DESIGN
336	DEFECT
337	DEFECT
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DESIGN
343	DESIGN
344	DESIGN
345	DESIGN
346	DESIGN
347	DEFECT
348	DESIGN
349	DESIGN
350	DESIGN
351	DEFECT
352	DEFECT
353	DEFECT
354	DESIGN
355	DESIGN
356	DESIGN
357	DEFECT
358	DESIGN
359	DESIGN
360	DEFECT
361	DESIGN
362	DOCUMENTATION
363	IMPLEMENTATION
364	DESIGN
365	IMPLEMENTATION
366	DESIGN
367	DESIGN
368	DEFECT
369	IMPLEMENTATION
370	IMPLEMENTATION
371	IMPLEMENTATION
372	DESIGN
373	DESIGN
374	DESIGN
375	DESIGN
376	DEFECT
377	DEFECT
378	IMPLEMENTATION
379	IMPLEMENTATION
380	IMPLEMENTATION
381	DESIGN
382	DESIGN
383	DESIGN
384	IMPLEMENTATION
385	DESIGN
386	IMPLEMENTATION
387	IMPLEMENTATION
388	IMPLEMENTATION
389	DEFECT
390	DESIGN
391	IMPLEMENTATION
392	IMPLEMENTATION
393	IMPLEMENTATION
394	DESIGN
395	DESIGN
396	DESIGN
397	DEFECT
398	DESIGN
399	IMPLEMENTATION
400	IMPLEMENTATION
401	IMPLEMENTATION
402	IMPLEMENTATION
403	DEFECT
404	IMPLEMENTATION
405	DESIGN
406	DEFECT
407	IMPLEMENTATION
408	IMPLEMENTATION
409	DESIGN
410	IMPLEMENTATION
411	DEFECT
412	DESIGN
413	DEFECT
414	IMPLEMENTATION
415	DESIGN
416	DESIGN
417	DEFECT
418	DESIGN
419	IMPLEMENTATION
420	DESIGN
421	DESIGN
422	DESIGN
423	DESIGN
424	IMPLEMENTATION
425	DEFECT
426	DEFECT
427	IMPLEMENTATION
428	DESIGN
429	IMPLEMENTATION
430	IMPLEMENTATION
431	DESIGN
432	DEFECT
433	IMPLEMENTATION
434	DESIGN
435	DESIGN
436	IMPLEMENTATION
437	IMPLEMENTATION
438	DESIGN
439	DESIGN
440	IMPLEMENTATION
441	IMPLEMENTATION
442	DESIGN
443	DESIGN
444	DESIGN
445	DEFECT
446	DEFECT
447	DESIGN
448	IMPLEMENTATION
449	IMPLEMENTATION
450	DESIGN
451	IMPLEMENTATION
452	DESIGN
453	IMPLEMENTATION
454	DESIGN
455	DESIGN
456	IMPLEMENTATION
457	TEST
458	IMPLEMENTATION
459	DESIGN
