index	prediction
0	DESIGN
1	DESIGN
2	DESIGN
3	DEFECT
4	DESIGN
5	DESIGN
6	DEFECT
7	DEFECT
8	DESIGN
9	DESIGN
10	DESIGN
11	DESIGN
12	DEFECT
13	DEFECT
14	DEFECT
15	DEFECT
16	DEFECT
17	DESIGN
18	DESIGN
19	DESIGN
20	DEFECT
21	IMPLEMENTATION
22	IMPLEMENTATION
23	DESIGN
24	DEFECT
25	DEFECT
26	DEFECT
27	DESIGN
28	DEFECT
29	DEFECT
30	DEFECT
31	IMPLEMENTATION
32	DEFECT
33	DESIGN
34	DEFECT
35	DESIGN
36	DESIGN
37	DEFECT
38	DEFECT
39	DEFECT
40	IMPLEMENTATION
41	DEFECT
42	DEFECT
43	DEFECT
44	DEFECT
45	DESIGN
46	DEFECT
47	DEFECT
48	DEFECT
49	IMPLEMENTATION
50	DESIGN
51	DEFECT
52	DESIGN
53	DEFECT
54	DEFECT
55	DEFECT
56	DEFECT
57	DEFECT
58	DEFECT
59	DEFECT
60	DEFECT
61	DESIGN
62	DEFECT
63	DESIGN
64	DEFECT
65	DESIGN
66	DEFECT
67	DEFECT
68	DEFECT
69	DEFECT
70	DESIGN
71	DESIGN
72	DEFECT
73	DESIGN
74	DEFECT
75	DESIGN
76	DESIGN
77	DESIGN
78	DEFECT
79	DESIGN
80	DEFECT
81	DESIGN
82	DEFECT
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DEFECT
89	DESIGN
90	DESIGN
91	DESIGN
92	DEFECT
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DEFECT
98	DESIGN
99	DEFECT
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	IMPLEMENTATION
105	DESIGN
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DEFECT
111	DESIGN
112	DESIGN
113	DESIGN
114	IMPLEMENTATION
115	IMPLEMENTATION
116	DEFECT
117	DESIGN
118	DEFECT
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	DESIGN
130	DESIGN
131	DESIGN
132	DEFECT
133	DESIGN
134	DEFECT
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DEFECT
140	DESIGN
141	DESIGN
142	DEFECT
143	IMPLEMENTATION
144	DESIGN
145	DESIGN
146	DESIGN
147	DESIGN
148	DESIGN
149	DESIGN
150	DESIGN
151	DESIGN
152	DESIGN
153	DESIGN
154	DEFECT
155	DESIGN
156	DEFECT
157	DEFECT
158	DEFECT
159	DESIGN
160	DEFECT
161	DEFECT
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DEFECT
167	DESIGN
168	DESIGN
169	DEFECT
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	IMPLEMENTATION
175	DEFECT
176	DESIGN
177	DESIGN
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DESIGN
184	DESIGN
185	DEFECT
186	DESIGN
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	DESIGN
192	DESIGN
193	DESIGN
194	DESIGN
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	IMPLEMENTATION
200	DESIGN
201	DESIGN
202	DESIGN
203	DESIGN
204	DESIGN
205	DESIGN
206	DESIGN
207	DESIGN
208	DEFECT
209	DESIGN
210	DESIGN
211	DEFECT
212	DESIGN
213	DESIGN
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DESIGN
223	DESIGN
224	DESIGN
225	DEFECT
226	DESIGN
227	DESIGN
228	DESIGN
229	DEFECT
230	DESIGN
231	DEFECT
232	DEFECT
233	DESIGN
234	DESIGN
235	DESIGN
236	DESIGN
237	DEFECT
238	DESIGN
239	IMPLEMENTATION
240	DEFECT
241	DESIGN
242	DEFECT
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DEFECT
252	DESIGN
253	DESIGN
254	DESIGN
255	DESIGN
256	IMPLEMENTATION
257	DESIGN
258	DESIGN
259	DESIGN
260	DEFECT
261	DESIGN
262	DESIGN
263	DESIGN
264	DEFECT
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	DEFECT
272	DESIGN
273	DEFECT
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DEFECT
279	DESIGN
280	DEFECT
281	DESIGN
282	IMPLEMENTATION
283	DESIGN
284	DESIGN
285	DEFECT
286	DESIGN
287	DESIGN
288	DESIGN
289	DESIGN
290	DESIGN
291	DESIGN
292	DESIGN
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DEFECT
298	DESIGN
299	DESIGN
300	DEFECT
301	DESIGN
302	DESIGN
303	DEFECT
304	DEFECT
305	DESIGN
306	DESIGN
307	DESIGN
308	IMPLEMENTATION
309	DESIGN
310	DESIGN
311	DESIGN
312	DESIGN
313	DESIGN
314	DESIGN
315	DESIGN
316	DESIGN
317	DESIGN
318	DEFECT
319	DESIGN
320	DEFECT
321	DESIGN
322	DESIGN
323	DESIGN
324	DEFECT
325	DEFECT
326	IMPLEMENTATION
327	IMPLEMENTATION
328	DEFECT
329	DESIGN
330	DESIGN
331	DEFECT
332	DESIGN
333	DESIGN
334	DESIGN
335	DESIGN
336	DEFECT
337	DEFECT
338	DESIGN
339	DESIGN
340	DESIGN
341	DESIGN
342	DESIGN
343	DESIGN
344	DESIGN
345	DESIGN
346	DESIGN
347	DEFECT
348	DESIGN
349	DESIGN
350	DESIGN
351	DESIGN
352	DEFECT
353	DEFECT
354	DESIGN
355	DESIGN
356	DEFECT
