index	prediction
0	DEFECT
1	DEFECT
2	DESIGN
3	DEFECT
4	DEFECT
5	DESIGN
6	DEFECT
7	DEFECT
8	DESIGN
9	DESIGN
10	DEFECT
11	DESIGN
12	DESIGN
13	DESIGN
14	DESIGN
15	DESIGN
16	DESIGN
17	DESIGN
18	DESIGN
19	DESIGN
20	DESIGN
21	IMPLEMENTATION
22	DESIGN
23	DEFECT
24	DESIGN
25	IMPLEMENTATION
26	DESIGN
27	DESIGN
28	TEST
29	DESIGN
30	DESIGN
31	DESIGN
32	DESIGN
33	DESIGN
34	DESIGN
35	DESIGN
36	DESIGN
37	DESIGN
38	DESIGN
39	DESIGN
40	DESIGN
41	DESIGN
42	DESIGN
43	DESIGN
44	DESIGN
45	DESIGN
46	IMPLEMENTATION
47	IMPLEMENTATION
48	DESIGN
49	DESIGN
50	DESIGN
51	DESIGN
52	DESIGN
53	IMPLEMENTATION
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DEFECT
59	DESIGN
60	DESIGN
61	DESIGN
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DEFECT
67	DESIGN
68	IMPLEMENTATION
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	DESIGN
98	DEFECT
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	IMPLEMENTATION
104	DEFECT
105	DESIGN
106	DESIGN
107	IMPLEMENTATION
108	IMPLEMENTATION
109	DESIGN
110	DESIGN
111	IMPLEMENTATION
112	IMPLEMENTATION
113	IMPLEMENTATION
114	DESIGN
115	TEST
116	TEST
117	DEFECT
118	TEST
119	DESIGN
120	DEFECT
121	DESIGN
122	DESIGN
123	DESIGN
