index	prediction
0	IMPLEMENTATION
1	IMPLEMENTATION
2	IMPLEMENTATION
3	IMPLEMENTATION
4	NONSATD
5	IMPLEMENTATION
6	DESIGN
7	NONSATD
8	DESIGN
9	IMPLEMENTATION
10	TEST
11	NONSATD
12	NONSATD
13	NONSATD
14	NONSATD
15	NONSATD
16	NONSATD
17	NONSATD
18	NONSATD
19	NONSATD
20	NONSATD
21	NONSATD
22	NONSATD
23	NONSATD
24	NONSATD
25	NONSATD
26	DESIGN
27	NONSATD
28	NONSATD
29	IMPLEMENTATION
30	NONSATD
31	NONSATD
32	NONSATD
33	DESIGN
34	NONSATD
35	NONSATD
36	IMPLEMENTATION
37	NONSATD
38	NONSATD
39	NONSATD
40	IMPLEMENTATION
41	NONSATD
42	IMPLEMENTATION
43	NONSATD
44	IMPLEMENTATION
45	IMPLEMENTATION
46	NONSATD
47	IMPLEMENTATION
48	NONSATD
49	NONSATD
50	TEST
51	NONSATD
52	NONSATD
53	IMPLEMENTATION
54	IMPLEMENTATION
55	IMPLEMENTATION
56	NONSATD
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	NONSATD
62	DESIGN
63	IMPLEMENTATION
64	TEST
65	NONSATD
66	NONSATD
67	IMPLEMENTATION
68	DESIGN
69	DESIGN
70	DESIGN
71	NONSATD
72	DESIGN
73	DESIGN
74	DESIGN
75	DESIGN
76	DEFECT
77	NONSATD
78	NONSATD
79	NONSATD
80	NONSATD
81	DESIGN
82	NONSATD
83	IMPLEMENTATION
84	DESIGN
85	DESIGN
86	NONSATD
87	DESIGN
88	DESIGN
89	NONSATD
90	DESIGN
91	NONSATD
92	NONSATD
93	NONSATD
94	NONSATD
95	NONSATD
96	DESIGN
97	DESIGN
98	NONSATD
99	NONSATD
100	NONSATD
101	NONSATD
102	NONSATD
103	NONSATD
104	NONSATD
105	DESIGN
106	DEFECT
107	DESIGN
108	NONSATD
109	DEFECT
110	DEFECT
111	NONSATD
112	NONSATD
113	DEFECT
114	NONSATD
115	NONSATD
116	IMPLEMENTATION
117	NONSATD
118	DESIGN
119	NONSATD
120	DESIGN
121	NONSATD
122	DESIGN
123	NONSATD
124	DESIGN
125	NONSATD
126	NONSATD
127	NONSATD
128	NONSATD
129	DESIGN
130	NONSATD
131	DEFECT
132	DEFECT
133	NONSATD
134	NONSATD
135	DESIGN
136	NONSATD
137	DESIGN
138	IMPLEMENTATION
139	NONSATD
140	DEFECT
141	IMPLEMENTATION
142	NONSATD
143	DEFECT
144	NONSATD
145	NONSATD
146	DESIGN
147	NONSATD
148	NONSATD
149	NONSATD
150	NONSATD
151	NONSATD
152	NONSATD
153	NONSATD
154	DESIGN
155	DESIGN
156	NONSATD
157	NONSATD
158	NONSATD
159	NONSATD
160	NONSATD
161	IMPLEMENTATION
162	NONSATD
163	NONSATD
164	NONSATD
165	NONSATD
166	NONSATD
167	DESIGN
168	NONSATD
169	NONSATD
170	DESIGN
171	DESIGN
172	NONSATD
173	NONSATD
174	NONSATD
175	DESIGN
176	NONSATD
177	DEFECT
178	DESIGN
179	DESIGN
180	DEFECT
181	DEFECT
182	DEFECT
183	NONSATD
184	NONSATD
185	NONSATD
186	DEFECT
187	NONSATD
188	NONSATD
189	DEFECT
190	NONSATD
191	DESIGN
192	DEFECT
193	DESIGN
194	DESIGN
195	NONSATD
196	IMPLEMENTATION
197	DOCUMENTATION
198	DOCUMENTATION
199	DOCUMENTATION
200	NONSATD
201	NONSATD
202	NONSATD
203	DESIGN
204	DESIGN
205	NONSATD
206	NONSATD
207	NONSATD
208	IMPLEMENTATION
209	NONSATD
210	NONSATD
211	NONSATD
212	NONSATD
213	NONSATD
214	NONSATD
215	DESIGN
216	IMPLEMENTATION
217	DESIGN
218	IMPLEMENTATION
219	NONSATD
220	NONSATD
221	NONSATD
222	NONSATD
223	NONSATD
224	NONSATD
225	NONSATD
226	NONSATD
227	IMPLEMENTATION
228	NONSATD
229	IMPLEMENTATION
230	NONSATD
231	DEFECT
232	NONSATD
233	NONSATD
234	DESIGN
235	DESIGN
236	NONSATD
237	NONSATD
238	DESIGN
239	NONSATD
240	DEFECT
241	IMPLEMENTATION
242	DESIGN
243	NONSATD
244	NONSATD
245	NONSATD
246	NONSATD
247	DESIGN
248	IMPLEMENTATION
249	DESIGN
250	NONSATD
251	NONSATD
252	IMPLEMENTATION
253	NONSATD
254	DESIGN
255	DESIGN
256	DEFECT
257	NONSATD
258	NONSATD
259	NONSATD
260	NONSATD
261	NONSATD
262	IMPLEMENTATION
263	DESIGN
264	NONSATD
265	NONSATD
266	NONSATD
267	NONSATD
268	NONSATD
269	NONSATD
270	IMPLEMENTATION
271	DEFECT
272	NONSATD
273	NONSATD
274	NONSATD
275	NONSATD
276	NONSATD
277	NONSATD
278	NONSATD
279	NONSATD
280	DESIGN
281	NONSATD
282	DESIGN
283	DESIGN
284	DESIGN
285	NONSATD
286	DESIGN
287	NONSATD
288	NONSATD
289	NONSATD
290	NONSATD
291	NONSATD
292	NONSATD
293	NONSATD
294	NONSATD
295	NONSATD
296	NONSATD
297	NONSATD
298	NONSATD
299	DEFECT
300	NONSATD
301	NONSATD
302	NONSATD
303	NONSATD
304	IMPLEMENTATION
305	DESIGN
306	TEST
307	NONSATD
308	DESIGN
309	NONSATD
310	NONSATD
311	NONSATD
312	NONSATD
313	NONSATD
314	NONSATD
315	NONSATD
316	NONSATD
317	NONSATD
318	NONSATD
319	NONSATD
320	NONSATD
321	NONSATD
322	NONSATD
323	NONSATD
324	DESIGN
325	NONSATD
326	IMPLEMENTATION
327	NONSATD
328	IMPLEMENTATION
329	NONSATD
330	DEFECT
331	NONSATD
332	NONSATD
333	DESIGN
334	NONSATD
335	DESIGN
336	DEFECT
337	NONSATD
338	IMPLEMENTATION
339	NONSATD
340	NONSATD
341	NONSATD
342	NONSATD
343	NONSATD
344	DOCUMENTATION
345	DOCUMENTATION
346	DEFECT
347	DOCUMENTATION
348	DEFECT
349	DOCUMENTATION
350	DEFECT
351	DESIGN
352	DESIGN
353	DESIGN
354	DESIGN
355	DESIGN
356	IMPLEMENTATION
357	DESIGN
358	DESIGN
359	DESIGN
360	DESIGN
361	IMPLEMENTATION
362	NONSATD
363	NONSATD
