index	prediction
0	DEFECT
1	DEFECT
2	IMPLEMENTATION
3	DESIGN
4	DEFECT
5	IMPLEMENTATION
6	DESIGN
7	DESIGN
8	DESIGN
9	DESIGN
10	DESIGN
11	DESIGN
12	DESIGN
13	DESIGN
14	IMPLEMENTATION
15	DESIGN
16	DESIGN
17	DESIGN
18	DESIGN
19	DESIGN
20	DESIGN
21	DESIGN
22	DESIGN
23	DESIGN
24	DESIGN
25	DESIGN
26	DESIGN
27	DESIGN
28	DESIGN
29	DESIGN
30	DESIGN
31	DESIGN
32	DESIGN
33	DESIGN
34	DESIGN
35	DESIGN
36	DESIGN
37	DESIGN
38	DESIGN
39	IMPLEMENTATION
40	DESIGN
41	DESIGN
42	DESIGN
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	DEFECT
50	DESIGN
51	DESIGN
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	IMPLEMENTATION
62	DESIGN
63	DESIGN
64	DEFECT
65	DESIGN
66	DESIGN
67	DEFECT
68	DEFECT
69	DESIGN
70	IMPLEMENTATION
71	DESIGN
72	DESIGN
73	IMPLEMENTATION
74	DESIGN
75	DESIGN
76	DESIGN
77	DESIGN
78	DESIGN
79	TEST
80	IMPLEMENTATION
