index	prediction
0	DEFECT
1	DEFECT
2	DEFECT
3	DESIGN
4	DEFECT
5	DEFECT
6	DESIGN
7	DEFECT
8	DEFECT
9	DEFECT
10	DESIGN
11	DEFECT
12	DESIGN
13	IMPLEMENTATION
14	DEFECT
15	DEFECT
16	DEFECT
17	DEFECT
18	DEFECT
19	DEFECT
20	DEFECT
21	IMPLEMENTATION
22	DESIGN
23	DESIGN
24	DESIGN
25	DESIGN
26	DESIGN
27	IMPLEMENTATION
28	DESIGN
29	DESIGN
30	DEFECT
31	DESIGN
32	DESIGN
33	DESIGN
34	DESIGN
35	DESIGN
36	DEFECT
37	DESIGN
38	DESIGN
39	DESIGN
40	DESIGN
41	DESIGN
42	DESIGN
43	DESIGN
44	DESIGN
45	DESIGN
46	DESIGN
47	DESIGN
48	DESIGN
49	DESIGN
50	DESIGN
51	DESIGN
52	DESIGN
53	DESIGN
54	DEFECT
55	DESIGN
56	DESIGN
57	DESIGN
58	DESIGN
59	DESIGN
60	DESIGN
61	DEFECT
62	DESIGN
63	DESIGN
64	DESIGN
65	DESIGN
66	DESIGN
67	DESIGN
68	DESIGN
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	DESIGN
76	DESIGN
77	DEFECT
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DEFECT
83	DESIGN
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	DESIGN
89	DESIGN
90	DESIGN
91	DESIGN
92	DESIGN
93	IMPLEMENTATION
94	IMPLEMENTATION
95	DESIGN
96	DEFECT
97	DESIGN
98	DESIGN
99	DESIGN
100	DESIGN
101	DESIGN
102	DESIGN
103	DESIGN
104	IMPLEMENTATION
105	IMPLEMENTATION
106	DESIGN
107	DESIGN
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DESIGN
113	DESIGN
114	DEFECT
115	IMPLEMENTATION
116	DESIGN
117	DESIGN
118	DESIGN
119	DESIGN
120	DESIGN
121	DESIGN
122	DESIGN
123	DESIGN
124	DESIGN
125	DESIGN
126	DESIGN
127	DESIGN
128	DESIGN
129	IMPLEMENTATION
130	DESIGN
131	DESIGN
132	DESIGN
133	DESIGN
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DESIGN
140	DESIGN
141	DESIGN
142	IMPLEMENTATION
143	DEFECT
144	DESIGN
145	DESIGN
146	IMPLEMENTATION
147	IMPLEMENTATION
148	DESIGN
149	DEFECT
150	DESIGN
151	DESIGN
152	DESIGN
153	DEFECT
154	DESIGN
155	DESIGN
156	DESIGN
157	DEFECT
158	IMPLEMENTATION
159	DESIGN
160	DESIGN
161	DESIGN
162	DESIGN
163	DESIGN
164	DESIGN
165	DESIGN
166	DESIGN
167	IMPLEMENTATION
168	DEFECT
169	DEFECT
170	IMPLEMENTATION
171	DESIGN
172	DEFECT
173	DESIGN
174	DEFECT
175	DESIGN
176	DESIGN
177	DOCUMENTATION
178	DESIGN
179	IMPLEMENTATION
180	DESIGN
181	DESIGN
182	DESIGN
183	IMPLEMENTATION
184	IMPLEMENTATION
185	IMPLEMENTATION
186	IMPLEMENTATION
187	IMPLEMENTATION
188	IMPLEMENTATION
189	DESIGN
190	IMPLEMENTATION
191	IMPLEMENTATION
192	DESIGN
193	IMPLEMENTATION
194	DESIGN
195	DESIGN
196	IMPLEMENTATION
197	DESIGN
198	DESIGN
199	DEFECT
200	DESIGN
201	DEFECT
202	IMPLEMENTATION
203	DESIGN
204	IMPLEMENTATION
205	IMPLEMENTATION
206	IMPLEMENTATION
207	IMPLEMENTATION
208	DESIGN
209	DESIGN
210	IMPLEMENTATION
211	DESIGN
212	DESIGN
213	IMPLEMENTATION
214	DESIGN
215	IMPLEMENTATION
216	DESIGN
217	DESIGN
218	IMPLEMENTATION
219	DESIGN
220	IMPLEMENTATION
221	TEST
