index	prediction
0	DESIGN
1	DESIGN
2	DESIGN
3	DESIGN
4	DESIGN
5	DESIGN
6	DESIGN
7	DESIGN
8	DESIGN
9	IMPLEMENTATION
10	DESIGN
11	IMPLEMENTATION
12	IMPLEMENTATION
13	IMPLEMENTATION
14	IMPLEMENTATION
15	IMPLEMENTATION
16	DESIGN
17	DESIGN
18	IMPLEMENTATION
19	DESIGN
20	TEST
21	DESIGN
22	DESIGN
23	IMPLEMENTATION
24	DESIGN
25	DESIGN
26	DESIGN
27	DESIGN
28	IMPLEMENTATION
29	DESIGN
30	DESIGN
31	DEFECT
32	DEFECT
33	DESIGN
34	DESIGN
35	DESIGN
36	DEFECT
37	DESIGN
38	IMPLEMENTATION
39	IMPLEMENTATION
40	DESIGN
41	DEFECT
42	DESIGN
43	DESIGN
44	DESIGN
45	IMPLEMENTATION
46	IMPLEMENTATION
47	DESIGN
48	TEST
49	TEST
50	DESIGN
51	DESIGN
52	DESIGN
53	DESIGN
54	DESIGN
55	DESIGN
56	DESIGN
57	DEFECT
58	IMPLEMENTATION
59	IMPLEMENTATION
60	IMPLEMENTATION
61	DESIGN
62	IMPLEMENTATION
63	DESIGN
64	DESIGN
65	DEFECT
66	DESIGN
67	IMPLEMENTATION
68	DESIGN
69	DESIGN
70	DESIGN
71	DESIGN
72	DESIGN
73	DESIGN
74	DESIGN
75	TEST
76	DESIGN
77	IMPLEMENTATION
78	DESIGN
79	DESIGN
80	DESIGN
81	DESIGN
82	DESIGN
83	IMPLEMENTATION
84	DESIGN
85	DESIGN
86	DESIGN
87	DESIGN
88	IMPLEMENTATION
89	IMPLEMENTATION
90	DESIGN
91	DESIGN
92	DESIGN
93	DESIGN
94	DESIGN
95	DESIGN
96	DESIGN
97	IMPLEMENTATION
98	IMPLEMENTATION
99	DESIGN
100	IMPLEMENTATION
101	DESIGN
102	DESIGN
103	DESIGN
104	DESIGN
105	DEFECT
106	DESIGN
107	IMPLEMENTATION
108	DESIGN
109	DESIGN
110	DESIGN
111	DESIGN
112	DEFECT
113	DESIGN
114	DESIGN
115	DESIGN
116	DESIGN
117	IMPLEMENTATION
118	DESIGN
119	DEFECT
120	IMPLEMENTATION
121	DESIGN
122	DESIGN
123	DEFECT
124	DESIGN
125	DESIGN
126	IMPLEMENTATION
127	DESIGN
128	DESIGN
129	IMPLEMENTATION
130	DESIGN
131	DEFECT
132	DESIGN
133	DEFECT
134	DESIGN
135	DESIGN
136	DESIGN
137	DESIGN
138	DESIGN
139	DESIGN
140	DEFECT
141	DESIGN
142	DESIGN
143	DESIGN
144	IMPLEMENTATION
145	DEFECT
146	IMPLEMENTATION
147	DESIGN
148	DESIGN
149	DEFECT
150	DESIGN
151	DEFECT
152	DESIGN
153	DESIGN
154	DESIGN
155	DESIGN
156	DESIGN
157	DESIGN
158	DEFECT
159	DESIGN
160	IMPLEMENTATION
161	DESIGN
162	DESIGN
163	DESIGN
164	IMPLEMENTATION
165	DESIGN
166	DESIGN
167	DESIGN
168	IMPLEMENTATION
169	IMPLEMENTATION
170	DESIGN
171	DESIGN
172	DESIGN
173	DESIGN
174	DESIGN
175	IMPLEMENTATION
176	DESIGN
177	DEFECT
178	DESIGN
179	DESIGN
180	DESIGN
181	DESIGN
182	DESIGN
183	DEFECT
184	DEFECT
185	DEFECT
186	DEFECT
187	DESIGN
188	DESIGN
189	DESIGN
190	DESIGN
191	IMPLEMENTATION
192	IMPLEMENTATION
193	DESIGN
194	IMPLEMENTATION
195	DESIGN
196	DESIGN
197	DESIGN
198	DESIGN
199	DESIGN
200	DESIGN
201	DESIGN
202	DESIGN
203	IMPLEMENTATION
204	DEFECT
205	DESIGN
206	DESIGN
207	TEST
208	IMPLEMENTATION
209	DESIGN
210	IMPLEMENTATION
211	DESIGN
212	DESIGN
213	DEFECT
214	DESIGN
215	DESIGN
216	DESIGN
217	DESIGN
218	DESIGN
219	DESIGN
220	DESIGN
221	DESIGN
222	DEFECT
223	DESIGN
224	DESIGN
225	DESIGN
226	DESIGN
227	IMPLEMENTATION
228	DESIGN
229	IMPLEMENTATION
230	DESIGN
231	DESIGN
232	TEST
233	DESIGN
234	DESIGN
235	DESIGN
236	DEFECT
237	DESIGN
238	IMPLEMENTATION
239	DESIGN
240	IMPLEMENTATION
241	IMPLEMENTATION
242	TEST
243	DESIGN
244	DESIGN
245	DESIGN
246	DESIGN
247	DESIGN
248	DESIGN
249	DESIGN
250	DESIGN
251	DESIGN
252	IMPLEMENTATION
253	DESIGN
254	IMPLEMENTATION
255	DESIGN
256	DESIGN
257	DESIGN
258	DESIGN
259	IMPLEMENTATION
260	DESIGN
261	DESIGN
262	DESIGN
263	DEFECT
264	DESIGN
265	DESIGN
266	DESIGN
267	DESIGN
268	DESIGN
269	DESIGN
270	DESIGN
271	DESIGN
272	DESIGN
273	DESIGN
274	DESIGN
275	DESIGN
276	DESIGN
277	DESIGN
278	DESIGN
279	DESIGN
280	DESIGN
281	DESIGN
282	DESIGN
283	DESIGN
284	DESIGN
285	DESIGN
286	DESIGN
287	DESIGN
288	DESIGN
289	IMPLEMENTATION
290	DEFECT
291	DESIGN
292	DOCUMENTATION
293	DESIGN
294	DESIGN
295	DESIGN
296	DESIGN
297	DESIGN
298	DESIGN
299	IMPLEMENTATION
300	IMPLEMENTATION
301	DESIGN
302	DESIGN
303	DESIGN
304	DESIGN
305	DESIGN
306	DEFECT
307	DESIGN
308	DESIGN
309	DEFECT
310	TEST
311	DESIGN
312	DESIGN
313	TEST
314	DESIGN
315	DESIGN
316	DESIGN
317	IMPLEMENTATION
318	DESIGN
319	IMPLEMENTATION
320	DESIGN
321	DESIGN
322	DESIGN
323	DESIGN
324	DESIGN
325	DESIGN
326	DEFECT
327	DEFECT
328	DESIGN
329	IMPLEMENTATION
330	TEST
331	DESIGN
332	DEFECT
