index	prediction
0	NONSATD
1	NONSATD
2	DESIGN
3	NONSATD
4	DESIGN
5	NONSATD
6	DESIGN
7	IMPLEMENTATION
8	IMPLEMENTATION
9	IMPLEMENTATION
10	DESIGN
11	NONSATD
12	NONSATD
13	NONSATD
14	NONSATD
15	NONSATD
16	NONSATD
17	NONSATD
18	NONSATD
19	NONSATD
20	NONSATD
21	NONSATD
22	DESIGN
23	NONSATD
24	DESIGN
25	TEST
26	DESIGN
27	NONSATD
28	DEFECT
29	NONSATD
30	NONSATD
31	DESIGN
32	DESIGN
33	DESIGN
34	DEFECT
35	NONSATD
36	NONSATD
37	DESIGN
38	NONSATD
39	NONSATD
40	DEFECT
41	NONSATD
42	NONSATD
43	NONSATD
44	NONSATD
45	DEFECT
46	NONSATD
47	NONSATD
48	NONSATD
49	NONSATD
50	DESIGN
51	DESIGN
52	DESIGN
53	NONSATD
54	DEFECT
55	DESIGN
56	NONSATD
57	NONSATD
58	NONSATD
59	NONSATD
60	NONSATD
61	NONSATD
62	DESIGN
63	NONSATD
64	NONSATD
65	NONSATD
66	NONSATD
67	NONSATD
68	NONSATD
69	NONSATD
70	NONSATD
71	IMPLEMENTATION
72	NONSATD
73	NONSATD
74	NONSATD
75	NONSATD
76	IMPLEMENTATION
77	DOCUMENTATION
78	NONSATD
79	NONSATD
80	NONSATD
81	NONSATD
82	NONSATD
83	NONSATD
84	NONSATD
85	NONSATD
86	NONSATD
87	DESIGN
88	IMPLEMENTATION
89	IMPLEMENTATION
90	NONSATD
91	DEFECT
92	DESIGN
93	NONSATD
94	DESIGN
95	IMPLEMENTATION
96	DESIGN
97	DESIGN
98	DEFECT
99	DEFECT
100	DESIGN
101	DEFECT
102	DEFECT
103	DEFECT
104	DESIGN
105	NONSATD
106	NONSATD
107	DESIGN
108	DESIGN
109	IMPLEMENTATION
110	NONSATD
111	NONSATD
112	NONSATD
113	DESIGN
114	NONSATD
115	DESIGN
116	DESIGN
117	NONSATD
118	NONSATD
119	NONSATD
120	NONSATD
121	NONSATD
122	NONSATD
123	IMPLEMENTATION
124	NONSATD
125	DESIGN
126	NONSATD
127	TEST
128	NONSATD
129	NONSATD
130	NONSATD
131	IMPLEMENTATION
132	NONSATD
133	DESIGN
134	DEFECT
135	IMPLEMENTATION
136	IMPLEMENTATION
137	DESIGN
138	DESIGN
139	NONSATD
140	NONSATD
141	IMPLEMENTATION
142	IMPLEMENTATION
143	NONSATD
144	DESIGN
145	DESIGN
146	DESIGN
147	NONSATD
148	IMPLEMENTATION
149	NONSATD
150	NONSATD
151	NONSATD
152	IMPLEMENTATION
153	IMPLEMENTATION
154	IMPLEMENTATION
155	IMPLEMENTATION
156	NONSATD
157	DESIGN
158	NONSATD
159	NONSATD
160	NONSATD
161	NONSATD
162	IMPLEMENTATION
163	NONSATD
164	NONSATD
165	NONSATD
166	DESIGN
167	IMPLEMENTATION
168	NONSATD
169	DESIGN
170	NONSATD
171	IMPLEMENTATION
172	NONSATD
173	NONSATD
174	NONSATD
175	DESIGN
176	DESIGN
177	IMPLEMENTATION
178	DESIGN
179	IMPLEMENTATION
180	NONSATD
181	DESIGN
182	DESIGN
183	DESIGN
184	NONSATD
185	NONSATD
186	DESIGN
187	DESIGN
188	IMPLEMENTATION
189	DEFECT
190	DESIGN
191	DESIGN
192	NONSATD
193	IMPLEMENTATION
194	IMPLEMENTATION
195	DEFECT
196	DEFECT
197	NONSATD
198	DEFECT
199	IMPLEMENTATION
200	NONSATD
201	DESIGN
202	NONSATD
203	NONSATD
204	IMPLEMENTATION
205	NONSATD
206	NONSATD
207	NONSATD
208	NONSATD
